text,gpt_responses,scope3,vague,file_name,responses,scope3_new
"And we launched Disney Future Storytellers to increase access to careers in media, entertainment, technology, and hospitality.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Additionally, more than 140 million of our charitable giving was directed to programs serving underrepresented communities.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We encourage a world in balance by lowering the environmental impact of our operations and investing in wildlife care and conservation.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"This past year we launched the Disney Wish, designed to be among the most energy efficient cruise ships on the water.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We also continued to reduce the environmental impact of our productions and received 58 Green Seals and 38 Gold Seals from the Environmental Media Association.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"In December 2022, we updated our emission reduction goals to include our broader value chain and we plan to submit our goals to the Science Based Targets initiative for validation.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_DIS_2022_results.csv,"Yes, the sentence is discussing scope 3 emissions.",yes
"And our Disney Conservation Fund contributed nearly 6.7 million in grants to more than 60 nonprofit organizations across 32 countries.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We support a world of hope and deliver joy, comfort, and peace of mind to our communities when they’re needed most through our charitable giving, which totaled approximately 233 million in fiscal 2022.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the scope 3 categories.",no
"We have now invested more than 75 million in our 100 million hospital initiative to bring the positive power of Disney stories and characters to more than 700 children’s hospitals and pediatric places of care around the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the scope 3 categories.",no
"We also continue to grant thousands of wishes annually to children facing critical illness.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Our success, however, is defined not by our efforts, but by the actual good we do for the communities we serve.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"True community engagement is about more than writing a check.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"Through our Disney VoluntEARS program, our employees and cast members worldwide have collectively contributed nearly 13 million hours of service to their communities since the program was started nearly 40 years ago.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"The underlying character of our Company comes from the hard work, energy, and dignity of our people.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Investing in the health, safety, and overall well being of our employees providing opportunities for development and career mobility and maintaining a supportive, respectful workplace require concrete solutions.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the categories of scope 3 emissions.",no
"In 2022, we expanded our education investment and career development program, Disney Aspire, and launched a new virtual leadership program for senior leaders called Disney IGNITE.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We also reported adjusted pay ratios, which were at least 99% across gender, race, and ethnicity in the U.S.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"We are focused on operating responsibly and on conducting our business in accordance with high standards of ethics.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,The sentence is not discussing any specific category of scope 3 emissions.,no
"In 2022, we updated our Human Rights Policy, enhanced our Supply Chain Code of Conduct, and celebrated the 10th anniversary of our Supply Chain Investment Program, which provides grant funding to support tools and programs that improve working conditions and enhance accountability in global supply chains.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"As you read this report, we hope you share our excitement about the progress we made this past year and the many opportunities ahead to deliver meaningful impact from our efforts.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"We are excited to celebrate our 100th anniversary create even more magical experiences and further serve our employees, guests, consumers, and communities in 2023 and beyond.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"The mission of The Walt Disney Company is to entertain, inform, and inspire people around the globe through the power of unparalleled storytelling, reflecting the iconic brands, creative minds, and innovative technologies that make ours the world’s premier entertainment company.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Since the Company’s founding nearly 100 years ago, operating responsibly has been an integral part of our DNA.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"Our corporate social responsibility (CSR) efforts address the expectations of our people, consumers, communities, and investors, and help us to attract, retain, and develop talented and diverse creators, cast members, and employees, all of whom contribute to our business success.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"We take a strategic approach to setting our CSR priorities, addressing issues that are important to our businesses and to the communities where we operate.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We regularly monitor issues and evolve our efforts to ensure we remain focused on the economic, environmental, and societal matters that impact those we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"Disney strives to inspire a world of belonging by embracing broad representation and respect for every individual in our workplace, storytelling, and communities a world in balance by taking action to create a cleaner, safer, and healthier world and a world of hope by supporting our communities, especially children.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We are also investing in our people and operating responsibly.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence ""We are also investing in our people and operating responsibly"" is not discussing any specific category of scope 3 emissions.",no
"Working together, side by side, our first responsibility is to have a meaningful, measurable, and positive impact on the people we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"This report details our key actions across these focus areas and describes how we’ve continued to implement our CSR strategy across our offerings, operations, and charitable giving initiatives.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"Inclusion of information in this report should not be construed as a characterization of the materiality or financial impact of that information.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing any specific category of scope 3 emissions.,no
"We are committed to cultivating a welcoming and respectful workplace, creating content and experiences that inspire our global audiences, and collaborating with community organizations to make our industries accessible to all.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the scope 3 categories.",no
"Through our 2030 environmental goals, we are working to reduce emissions, use and waste less, lower the impact of our products, build sustainably, and inspire communities to protect the magic of nature together.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,The sentence is not discussing any specific category of scope 3 emissions.,no
"We support communities around the world in ways only Disney can, leveraging the power of our stories and beloved characters, reach of our platforms, and employee and cast member talents.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"Our employees are at the heart of every one of our stories and are the reason we can entertain, inform, and inspire people all over the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We are focused on investing in our peoples’ health, safety, and overall well being creating a supportive and inclusive culture and providing opportunities for growth, development, and career mobility.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the categories of scope 3 emissions.",no
"We are committed to operating our businesses with integrity and adopting governance policies that represent our stakeholders’ interests, and we are committed to conducting business in accordance with high standards of business ethics and complying with applicable laws, rules, and regulations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"CSR at Disney is led by our Executive Vice President (EVP), Corporate Social Responsibility, Jennifer Cohen, who reports to our Chief Executive Officer.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"She works in close collaboration with our Chief Financial Officer, Chief Human Resources Officer, Chief Diversity Officer, Chief Compliance Officer, General Counsel, Investor Relations, Global Public Policy, Government Relations, our segment business leaders, and their respective teams.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Together they develop strategies, policies, programs, and other initiatives to address our priorities across our offerings, operations, and philanthropic giving.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Additionally, the Governance and Nominating Committee of the Board has oversight of CSR programs and reporting.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Our EVP of CSR provides updates on CSR topics to the Committee throughout the year and presents to the full Board at least annually.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"The Board has also delegated oversight of specific topics to certain committees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"The Governance and Nominating Committee oversees human rights policies and lobbying and political strategy.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"The Audit Committee oversees cybersecurity and data security risks and mitigation strategies.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"And the Compensation Committee oversees workforce equity matters.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"The sentence ""And the Compensation Committee oversees workforce equity matters"" is not discussing scope 3 emissions.",no
"This includes compensation of the Company’s executive officers for example, diversity has been included as a factor in the executive bonus plan for many years, and in fiscal 2022, diversity and inclusion again had the highest weighting among nonfinancial objectives.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"You will see relevant icons in various sections throughout this report to demonstrate where our efforts align with specific United Nations Sustainable Development Goals (SDGs) a collection of global goals intended to create a cleaner, safer, and healthier future for all.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We are committed to operating respectfully and responsibly in all that we do, and having a meaningful, positive impact on all the communities and people we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,The sentence is not discussing any specific category of scope 3 emissions.,no
"We maintain relationships with the stakeholders and communities we serve through ongoing dialogue.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"We work with a variety of stakeholders representing diverse perspectives including consumers, employees, industry and business communities, nonprofit and social impact organizations, and shareholders as we believe this can enhance our ability to identify opportunities and, in some cases, solutions to some of our most pressing challenges.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"We also engage on policy issues both directly and through industry associations on issues relevant to our businesses.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Ongoing and responsive engagement with key stakeholders continues to inform our CSR strategy, goals, and initiatives.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Consumer surveys Focus groups Fan events Social media interactions Customer service emails and calls Cause marketing campaigns.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"Employee surveys and focus groups Town halls Conversations focused on topics that matter to our employees, like inclusion and respect in the workplace.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Employee volunteering and giving Business unit specific initiatives (e.g., Disney Studios virtual executive coffees).
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Industry conferences Industry and multi stakeholder coalitions Supplier meetings and collaborations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Signature social impact initiatives Campaigns (e.g., cause marketing, awareness campaigns) Multi stakeholder coalitions Charitable giving Employee volunteering and giving Consultation on priority topics (e.g., climate change, human rights, diversity, environmental goals).
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions. It is discussing social impact initiatives and consultation on priority topics.",no
"Management and Board engagement Earnings calls Annual shareholder meetings Conferences and events.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Our customer engagement approach helps us better understand what our consumers expect from us.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"For example, it helps inform how we can utilize our unique content and experiences to inspire millions globally to show up as a force for good in our world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"Through a variety of outlets, we participate in a two way responsive dialogue where we learn what our employees value, their levels of satisfaction as well as their concerns, and their knowledge of and engagement with key issues at Disney.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"For example, in 2022 we surveyed employees across the enterprise.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Learnings help to inform our ongoing work to develop programs that support and further the employee experience.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Through engagement with industry leaders and suppliers, we join efforts to create large scale, industry wide change, as well as to learn about trends and insights related to our specific businesses.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"For example, we are active participants in multi stakeholder efforts to improve labor conditions in global supply chains, such as the Joint Forced Labor Working Group and the Business at OECD Investment and Responsible Business Conduct Committee.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"NGOs and social impact organizations address challenges, both globally and locally.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Their expertise and on the ground programs enable us to reach individuals and communities that need us most, such as historically underrepresented communities that we aim to serve through our Disney Future Storytellers program.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Additionally, these organizations educate us on the evolving trends regarding impact areas and or regions.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"Members of management, the Board, and our Investor Relations team have a strong program of engagement with shareholders.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"For example, in calendar year 2022, our Investor Relations team contacted more than 95% of our largest 50 shareholders, and our Investor Relations team and Board held two formal rounds of shareholder engagement.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"This was in addition to regular ongoing engagement throughout the year with investors of all sizes from around the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the scope 3 categories.",no
"The feedback gathered during these conversations helps inform the Board’s thinking, including on CSR practices and disclosures.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"Through financial contributions, collaboration with nonprofit organizations, and in kind donations, Disney brings positive, meaningful, and measurable impact to our communities around the world.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the scope 3 categories.",no
"Guided by our Charitable Giving Guidelines, we focus on investments that align to our CSR focus areas leverage our unique resources, skills, talents, and expertise and address pressing community needs.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"In the past decade, we have also matched more than 104 million in employee and cast member personal donations of money and time through Disney’s Matching Gifts and VoluntEARS Grants programs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Charitable giving highlights are included throughout this report.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We also include grants to organizations where a percentage of their services reaches underrepresented and protected communities.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the categories of scope 3 emissions.",no
"If the organization spends a majority of their efforts on these communities, we count the entire grant, and if the organization does not spend a majority, we count a proration of the grant.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"For grants to these two types of organizations, we rely on their self reported percentages regarding communities served.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"On a sample basis, we validate the percentages that we report.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any specific category of scope 3 emissions.",no
"We are committed to directing 50% of our annual charitable giving to programs benefiting underrepresented communities.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We inspire a world of belonging through stories and storytellers who reflect the rich diversity of our world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Disney is committed to celebrating an inclusive and respectful world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We create authentic and unforgettable stories, characters, experiences, and products that capture the imagination of our global audiences.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing any of the scope 3 categories.",no
"Our workplace practices help us to make progress toward attracting, retaining, and developing a workforce that reflects the diverse life experiences of our audiences and guests.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Disney also collaborates with community organizations to create opportunity around the world through charitable giving and strategic endeavors.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Reimagine Tomorrow endeavors to inform employees, community organizations, and fans about our DEI commitments and actions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Our Diversity, Equity, and Inclusion team is working across the Company to inspire positive change.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"By supporting the creation of content and experiences that resonate with our ever expanding global audiences, promoting diverse representation, and collaborating with numerous nonprofit organizations and cultural experts, we are helping Disney remain a place for boundless creativity and belonging.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"To make progress toward a workforce that reflects the market.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We are focused on engaging, developing, and retaining a diverse workforce and leadership team.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"When our workforce reflects the diversity of our consumers worldwide, we are able to better and more authentically serve those consumers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Disney takes a meaningful and measurable approach to expanding our pipeline of talent, and we strive to follow industry best practices, including marketing roles on platforms that reach broad audiences using respectful, welcoming language in our job descriptions and forming inclusive panels to interview candidates.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We offer optional training to support leaders in identifying, attracting, and engaging a multifaceted talent pool.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"We also work to engage, develop, and retain a leadership team and workforce that reflect our audiences.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"For example, we promote accessible workplaces and we strive to recruit, train, and integrate employees with disabilities in alignment with industry best practices.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"To attract and retain representative talent at the executive level, we invest in talent development programs like the Black Talent Network, which launched in 2020.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"This initiative expands exposure for Black talent across the Company and helps to increase representation in senior level roles.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"Participants engage with senior leaders and create career plans to expand their opportunities within the Company, and 86% of Black Talent Network participants said they know the next steps to achieve their career possibilities.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"In fiscal 2022, we launched two new cohorts of the Women’s Talent Network to enhance careers for Asian American Pacific Islander (AAPI) as well as Latina employees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"One hundred participants joined the pilot across both programs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"Our individual businesses also facilitate talent development programs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
"For example, Disney General Entertainment continues its Executive Incubator Program, which works to create a pipeline of the next generation of creative executives by providing participants from underrepresented backgrounds with experience in various aspects of the content business.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,The sentence is not discussing scope 3 emissions.,no
"A few additional examples of how we are building a robust talent pipeline are included on the next page.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv,"No, the sentence is not discussing scope 3 emissions.",no
