text,gpt_responses,scope3,vague
"We take a disciplined approach to product innovation and portfolio management, ensuring we develop and deliver preferred, great tasting beverages for all occasions and lifestyles.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This includes offering drinks with reduced added sugar and more brands with nutrition and wellness benefits providing small package options and clear nutrition information on packaging and in our communications and marketing our drinks responsibly.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We continue to use our marketing to drive growth of our low and no calorie portfolio.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Sugar has experienced double digit growth in five of the last six years.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, several leading low and no calorie brands in North America launched consumer campaigns with celebrity partners and sponsorship assets.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Peer reviewed methodologies were used to calculate volumetric benefits per project and operating unit for all externally assured data one exception was approved for internally validated and verified data.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"The replenish benefit is typically estimated as a long term, average annual volume, but for some project activities it varies annually.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Replenish benefits fall under three categories: Watershed Protection and Restoration (233.5 BL), Water for Productive Use (40.9 BL) and Water Access and Sanitation (17.4 BL).
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Due to joint venture or merger and acquisition activities between 2019 2022, certain brands may not be accounted for in this metric.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Unless otherwise stated, in this report finished beverages is based on global sales volume.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"As of 2022, we reduced our absolute emissions by 7% against waste challenges facing our planet and society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our ambitious which are embedded in how we operate as a business, and we change is a priority for our company.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Climate change poses a 2015 baseline, making progress toward our science based strategy to drive change through a circular economy for our take a transparent approach to reporting our actions, results risks to our business and our stakeholders.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"By implementing an reduction target of 25% by 2030 against the baseline.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Several of our bottling partners and suppliers have set or fundamental goals: Making 100% of our packaging recyclable deliver impact at scale. emissions and building resilience in our business, value chain committed to setting their own science based reduction targets globally by 2025 and using at least 50% recycled material in our packaging by 2030 (Design) collecting and recycling a bottle or can for each one we sell by 2030 (Collect) and bringing people together to support a healthy, debris free environment (Partner).
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"In 2022, we avoided around half a million metric tons of virgin plastic usage through our efforts on lightweighting and use of recycled content with an incremental avoidance of over 50,000 metric tons compared to 2021.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We bring people together to support a healthy, debris free environment.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"See our 2022 partnership highlights here and local communities. to drive climate action across our value chain.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"We are working to reduce our carbon footprint in line with science to help avoid the worst impacts of climate change.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We do this by analyzing and prioritizing the sources of GHG emissions across our value chain and by partnering with stakeholders to drive down emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Respecting human rights is one of our core values.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This complex global supply chain includes many kinds of suppliers, from multinational companies to smallholder farmers.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"The PSA, introduced in 2021, take a long term perspective and reflect the most recent science, our total beverage company portfolio, and our increasingly diverse supply chain.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The PSA are designed to encourage continuous improvement in farming practices and lead to more ethical and sustainable sourcing.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our goal is to sustainably source all our ingredients over time such as sugar cane, corn, fruit, coffee, tea and soybeans.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Sustainably sourcing our ingredients increases the resilience of our supply chain, helps to conserve nature, and empowers producers and farm workers.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"In practice, we encourage and support our ingredient suppliers to drive continuous improvement in sustainable farming practices, based on our PSA.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"The Coca Cola Company was among the first companies to commit to the United Nations Guiding Principles on Business and Human Rights, and we have strived to inspire and drive responsible business practices ever since.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Impact, a new vision for the company’s human rights program.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our mission is to take actions that lead toward a better tomorrow.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We will take the lessons learned from existing programs and partnerships and seek to scale and adapt best practices across more geographies to deliver real impact to more people across our value chain.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"We will work to drive progress across our company, our industry and beyond through rigorous analysis, creative partnerships and constant innovation to turn commitment into action.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"To make our ambition concrete, Real IMPACT includes three signature initiatives.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Real IMPACTToward a Better TomorrowDriving meaningful and enduring change in the lives of everyone touched by the commodities at the heart of our products from smallholder farmers and their families to the communities we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Empowering workers across our value chain from upstream supply chain workers and our 700,000 system employees to down stream informal waste collection workers supporting recycling around the world.IMPACT AgricultureIMPACT WorkDeveloping transformative due diligence and remediation programs through emerging technologies and creative partnerships with stakeholders and experts.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"We help create a better shared future for everyone our brands and business system touches by working to provide access to equal opportunity and fostering belonging both in our workplaces and the communities we serve.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We partner with global, national and local organizations plus our network of bottling partners to improve people’s lives.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"While we continued to make meaningful progress in 2022, our work is an ongoing journey in an ever changing landscape.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"That’s why we continue to prioritize listening and learning executing our strategy consistently and holding ourselves accountable for continuous progress.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"ASPIRE TO CREATE a workforce that mirrors the markets we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"ENABLE an inclusive culture where our employees thrive.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"ADVANCE equity within our business, communities, and the marketplace.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Coca Cola Foundation’s mission is to make a difference in communities where our company operates and where our employees live and work.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Coca Cola Company, The Coca Cola Foundation supports transformative ideas and institutions that address pressing and complex global challenges.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our goal is to leave a measurable and lasting impact in local communities through a focus on the environment and society.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, The Coca Cola Foundation contributed 94.8 million to 301 organizations globally.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Global Ventures, fairlife and BODYARMOR. For exclusions, please view the criteria statement in the Independent Accountants’ Review Report.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Note: The percentages in each column in these charts may not sum to 100% due to rounding.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We are a total beverage company with products sold in more than 200 countries and territories.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We are constantly transforming our portfolio, from reducing added sugar in our drinks to bringing innovative new products to market.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We seek to positively impact people’s lives, communities and the planet through water replenishment, packaging recycling, sustainable sourcing practices and carbon emissions reductions across our value chain.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Together with our bottling partners, we employ more than 700,000 people, helping bring economic opportunity to local communities worldwide.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Finished beverages (including sparkling soft drinks water, sports, coffee tea juice, value added dairy plant based beverages and emerging beverages).
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Company typically generates net operating revenues by selling concentrates and syrups to authorized bottling partners.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our bottling partners combine the concentrates and syrups with still or sparkling water and sweeteners (depending on the product), to prepare, package, distribute and sell finished beverages.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our finished product operations consist primarily of company owned bottling and distribution operations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Costa’s portfolio also includes ready to drink and at home coffee solutions.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The Coca Cola Company does not own, manage or control most local bottling companies.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2022, we combined partnerships, technology and our consumers’ passions to create unforgettable experiences in music, gaming and sports.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Coke Studio expanded into a global, digital first platform.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Seven diverse artists from seven countries teamed up on a remake of Queen’s A Kind of Magic to kick off the platform.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"India, the Philippines, Africa and the Middle East.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Coca Cola Creations is a new global innovation platform that lends the iconic Coca Cola brand to new expressions, driven by collaboration, creativity and cultural connection.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Creations draws inspiration from music, gaming and culture, and is complemented with experimental packaging designs, digital experiences and more.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Seagram’s to showcase the parallels between recycling sounds and beverage bottles.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Records is an original EP created almost entirely from recycled sound samples captured during the PET bottle to bottle recycling process.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The project is a creative, culturally relevant way to celebrate the brands’ switch from green to clear PET packaging.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Nourish Every You was inspired by the insight that vitaminwater fans want to take care of themselves, but are living with fluctuating physical, emotional and spiritual needs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Sprite Limelight launched as the music and cultural extension of Heat Happens, the brand’s global platform unveiled in 2022.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Chenyu used the hook as inspiration for their own original songs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Biles and other accomplished athletes and coaches spanning a variety of sports.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The campaign kicked off in March 2022 during NCAA March Madness.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Note: See pages 72 74 for reconciliations of non GAAP financial measures to our results as reported under accounting principles generally accepted in the United States (U.S. GAAP).
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The Coca Cola Company’s innovative and collaborative culture is underpinned by a robust framework of policies and processes to promote ethical behavior, accountability and transparency.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our Board of Directors is responsible for overseeing our governance framework as part of its risk oversight function.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Corporate Governance Guidelines, Certificate of Incorporation and Corporate By Laws can be viewed on our website.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The Committee assesses a range of issues relevant to the company’s business, our shareowners, the broader stakeholder community or the general public.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"This entails evaluating and reviewing information pertaining to social, political and environmental trends, in addition to oversight of the company’s sustainability goals and human rights practices.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Committee oversees our plans and strategies on climate related issues.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For a deeper dive into our climate governance, visit the Climate section.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Committee also oversees and reviews, at least annually, the company’s public policy agenda, its position on significant public policy matters, political contributions and lobbying activities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Committee reviews shareowner proposals on sustainability issues to be included in the company’s proxy statements and makes recommendations to the Board.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In addition, the Committee receives updates on priority sustainability issues, including actions and progress toward goals.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Sustainability Committee to oversee sustainability risks facing the company.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Finally, the Talent the varied and technical matters encompassed and Compensation Committee oversees the by sustainability.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Corporate Governance company’s human capital management policies and Sustainability Committee has primary and strategies.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This includes talent management, responsibility for overseeing the company’s leadership and company culture initiatives, sustainability strategies and initiatives and such as those promoting diversity, equity and related risks that concern environmental, social, inclusion (DEI).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This Board level commitment legislative, regulatory and public policy matters, and alignment drives top down accountability toward our DEI goals and helps support a positive company culture.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Beginning in 2022, performance as it relates to diversity, packaging and water goals is reflected in our incentive programs for executives.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"To reinforce the importance of meeting our sustainability goals, the Talent and Compensation Committee approved plans to link sustainability performance to our annual and long term incentive programs for executives in 2022.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"States, to align race and ethnicity representation to U.S. census data.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Learn about our transparent approach to stakeholder engagement and scientific research.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The company follows all national laws regarding political engagement and discloses political contributions according to each country’s legal framework and through the relevant national regulatory authorities.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In early 2023, the company enhanced its disclosures to include links to our non U.S. political contributions.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The Corporate Governance and Sustainability Committee of the Board of Directors annually reviews our public policy agenda and advocacy program.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"These reviews ensure that our activities align with our business interests and serve the needs of our shareowners and broader stakeholder community.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Vice President Chief of Public Affairs, Communications and Sustainability, and the Legal Department.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Political Engagement Policy, and applicable laws and regulations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Integrity, transparency and nonpartisanship reporting process that spans many years, and underpin our approach to engagement in the we aim to provide stakeholders with complete, public policy and political process.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"States and Canada, we promote public policy public communications.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Business Sustainability Report, which combines include environmental sustainability, consumer financial and sustainability performance in one publication.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We also respond to the CDP climate, preference, tax and trade, and workplace and economic inclusion.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Our advocacy often involves water and forests questionnaires and make those education, participation and thought leadership disclosures publicly available.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We recognize there is a desire for standardization across reporting frameworks, and we’re within industry, business and policy forums.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"When significant to our business interests, we share our policy positions through advocacy initiatives.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Consistent with U.S. federal law, the company listening to stakeholder feedback.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Reporting Initiative (GRI) Standards, a globally committees, or otherwise employ its resources, recognized framework.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In addition, we provide including in kind, even when permitted by indexes for the Sustainability Accounting law.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Nations Sustainable Development Goals (SDGs), electioneering communications.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Global Commitment, the WWF ReSource Plastic disclosure platform and the U.S. Plastics Pact.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Index of Corporate Political Disclosure and Accountability.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Accountability (CPA) aims to encourage responsible corporate political activity, protect shareholders and strengthen the integrity of the political process.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The Coca Cola Company works closely with approximately 200 bottling partners across more than 200 countries and territories to achieve our sustainability goals.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"We have established internal processes and an internal control environment that help us identify and manage risks.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The company’s Compliance, Legal and Finance functions serve in an advisory role.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our networked teams also collaborate with operating units, bottling partners, NGOs, governments, investors and people in communities all around the world to identify risks and make progress toward our sustainability goals.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"For more about our approach to risk management and priority issues, see Priority Topics.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"S During 2022, we undertook a comprehensive company, system and stakeholders.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Sourcing and Talent Attraction, Retention and DEI increased in importance versus the prior year.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have implemented management initiatives strategy, conduct and evolve our business, to address these priority topics.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also continue to evolve our strategic approach to effectively manage associated business risks and opportunities in light of the ongoing changes to both our business and the external context in which we operate.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This is detailed in the individual sections of the report.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
