sentence,gpt4_annotation,mistral_annotation,Comments,mistral_response
"An industrial e fuels activity that would avoid 25 to 50 Mt year of CO2 for our customers through production with 100% green hydrogen while making up for the intermittence of renewable energies to replace fossil fuels.
",yes,no,," Based on the provided context, it appears that the sentence is not explicitly discussing Scope 3 emissions"
"The shift towards lower carbon products will allow us to reduce the lifecycle carbon intensity of energy products sold by at least 20% by 2030.
",yes,no,," Based on the provided sentence, it is not explicitly discussing Scope 3 emissions as it mentions"
"Our products’ lifecycle carbon intensity In 2021, we continued to reshape our mix thanks to increased sales of LNG (up 10% from 2021 to 42 Mt in 2021) and elec tricity (up 20% from 2020 at 57 TWh) and a 10% decrease in petroleum product sales.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions as the text focuses"
"Growth in electricity will account for nearly two thirds of the decrease in lifecycle carbon intensity between 2015 and 2030.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions as the focus is"
"The second lever involves reducing sales of petroleum prod ucts and increasing production of gas (especially LNG) and sales of products based on biomass.
",yes,no,," Based on the given sentence, it is not explicitly discussing Scope 3 emissions as the focus is"
"Reducing the TotalEnergies LNG value chain's emissions intensity  This growth requires an exemplary strategy for greenhouse gas emissions.
",yes,no,," Based on the given sentence, it does not explicitly mention any specific category of Scope 3 emissions"
"The agricultural feedstock used to make these products complies with sustainability and traceability requirements concerning carbon footprint, non deforestation and land use.
",yes,no,," Based on the provided sentence, it is not explicitly discussing Scope 3 emissions as it mentions"
"Several renewable electricity projects, which are compati ble by nature with these criteria, were approved, such as off shore wind projects Round 4 and ScotWind (United Kingdom), Yunlin (Taiwan), five onshore wind projects in France with a total gross capacity of nearly 200 MW, and several solar ener gy projects in France, Spain, Iraq and the US, with approximate ly 3 GW of gross capacity.
",yes,no,," Based on the given sentence, it does not explicitly discuss Scope 3 emissions as it is focused"
"It will allow industrial emitters in Norway and elsewhere in Europe to store their emissions.
",yes,no,," Based on the provided sentence, it does not directly discuss any specific category of Scope 3 emissions"
"In the Netherlands, TotalEnergies and its partners are studying the Aramis project designed to develop a logistics chain and hub in the port of Rotterdam to transport CO2 to depleted offshore fields, some of which are operated by TotalEnergies.
",yes,no,," The sentence is discussing scope 3 emissions, specifically related to fuel and energy-related activities (not"
"In the United Kingdom, the Company is working with its partners on the Northern Endurance Partnership transport and storage project, which aims to decarbonize the Teesside and Humberside industrial regions.
",yes,no,," Based on the provided sentence, it appears that the discussion is not directly about Scope 3 emissions"
"As with its operated assets, the Company takes steps to improve energy efficiency, electrify operations using green electricity, reduce flaring and manage methane emissions.
",yes,no,," Based on the given sentence, it does not specifically discuss Scope 3 emissions. The sentence ment"
"In 2021, TotalEnergies joined forces with Novatek to reduce the intensity of the LNG chain (see p. 17), and conducted an energy efficiency audit of the Lav ra petrochemical facility in France.
",yes,no,," Based on the information provided in the sentence, it does not directly mention any specific Scope 3"
"It is also studying plans to electrify the Sn hvit LNG plant along side the operator, Equinor.
",yes,no,," Based on the provided context, the sentence does not directly discuss Scope 3 emissions. The focus"
"TotalEnergies is actively striving to make net zero emissions an ambition it shares with its customers.
",yes,no,, The sentence does not provide enough information to determine if it is discussing Scope 3 emissions specifically or
"The primary lever for effectively advancing the energy transition is to gradually change the forms of energy its customers use.
",yes,no,," Based on the provided sentence, it does not explicitly discuss any specific category of Scope 3 emissions"
"The Company’s goal is to provide its customers with storage capacity of more than 10 Mt CO2 year by 2030, with the ambi tion of lifting capacity to more than 50 Mt CO2 year by 2050.
",yes,no,," Based on the given sentence, it does not directly discuss or mention any specific Scope 3 emission"
"In Europe, those emissions fell by 14% (excluding Covid).
",yes,no,," Based on the provided sentence, it does not specifically mention any Scope 3 category being discussed."
"The lifecycle carbon intensity indicator for the energy proj ects it sells has fallen by 10 points since 2015 (excluding Covid), making TotalEnergies the leader among its peers in decarbonizing its energy mix.
",yes,no,," Based on the provided sentence, it does not explicitly mention any specific Scope 3 category being discussed"
"We also provide extensive support to our sub contractors as a way to preserve local jobs and spur new man ufacturing projects (see Chapter 5).
",yes,no,," Based on the given sentence, it does not explicitly discuss Scope 3 emissions. The focus is"
"Evaluating Our Priorities and Setting Our Objectives TotalEnergies assesses impacts and stakeholders' expectations across the entire value chain, and takes suppliers into account as well (see p. 72).
",yes,no,," Based on the provided sentence, it appears that the discussion is not specifically about Scope 3 emissions"
"Suppliers whose operations require substantial amounts of water.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions as"
"Performing Environmental Audits of Suppliers TotalEnergies promotes care for the environment in its supply chain.
",yes,no,," Based on the provided sentence, it does not directly mention or discuss specific Scope 3 emission categories"
"Starting in 2023, environmental audits of suppliers will be deployed, with a specific focus on responsible use of natu ral resources such as water.
",yes,no,," Based on the provided sentence, it does not explicitly discuss Scope 3 emissions. The sentence ment"
"The carbon intensity indicator therefore corresponds to the average emissions generated by each unit of energy used by our customers.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions as defined in the"
"We work with suppliers to mutually set objectives and targets, monitor progress and engage collaboratively on shared innovation opportunities and challenges.
",yes,no,," Based on the provided sentence, it is not directly discussing Scope 3 emissions as there are no"
"McDonald’s is committed to increasing traceability by specifying physical certification for the palm oil used in the McDonald’s System in the greatest volumes (IP, SG or MB).
",yes,no,, This sentence is not directly discussing Scope 3 emissions. The focus of the sentence is on McDonald
"Further, this figure is inclusive of U.S. Company owned restaurant spend, supply chain, restaurant development, marketing, legal, global technology, workplace solutions, communication, finance, global people and other corporate functions.
",yes,no,," Based on the provided sentence, it appears that the scope 3 emissions being discussed include ""U."
"Tier 2 suppliers are those with whom our suppliers do business.
",yes,no,," Based on the information provided in the sentence, it does not appear to be discussing Scope 3"
"FY2020 percent spend through the U.S. System with diverse owned suppliers was restated following update of diversity classification of two suppliers and evolved data practices around Tier 2 spend reporting and accounting for Supply Chain managed spend for equipment and operating supplies.
",yes,no,," Based on the information provided in the sentence, it does not appear to be discussing Scope 3"
"We have embedded our climate goals across our operations, and are prioritizing action in our most carbon intensive areas, including restaurant energy, our supply chain, and packaging and waste.
",yes,no,," Based on the information provided in the sentence, it appears that the discussion is focusing on ""our supply"
"We continue to progress toward net zero emissions globally by 2050, transforming our business to be more resilient.
",yes,no,, The sentence does not explicitly discuss Scope 3 emissions. It mentions the goal of achieving net
"While this represents the impact of our contracted projects, the landscape of the renewable energy industry continues to experience supply chain issues and other headwinds and we also recognize that the impact from some contracted projects in the portfolio could be replaced with other future projects.
",yes,no,," Based on the provided text, it does not directly discuss specific scope 3 emission categories. The text"
"We are accelerating our progress to reduce materials across our portfolio, redesigning some of our most iconic products to eliminate unnecessary packaging and increase opportunities for recovery.
",yes,no,," Based on the given sentence, it does not explicitly discuss Scope 3 emissions as the focus is"
"Non structural components of packaging29 are out of scope.
",yes,no,," Based on the given sentence, it is not discussing Scope 3 emissions as the focus is on"
"As we strive to meet our global goal, we are working with our suppliers to test new technologies that can scale globally.
",yes,no,," Based on the given sentence, it is not explicitly discussing Scope 3 emissions as no specific category"
"Specifically, as it relates to developing alternatives for packaging liners, we are making investments in the technology and supply chain capabilities and collaborating with our suppliers to do so however, the timeframe set for progress is dependent upon our ability to test and deploy at global scale, which continues to be a challenge.
",yes,no,," Based on the provided text, the sentence is not explicitly discussing Scope 3 emissions. The focus"
"Our approach is supported by our Global Food Disposition Policy to help eradicate food waste in restaurants and supply chain facilities.
",yes,no,," Based on the provided sentence, it does not directly discuss or mention any specific Scope 3 emission"
"In 2022, McDonald’s USA and its suppliers in the U.S. donated over 1.6 million pounds of food and paper combined from suppliers and distribution centers worth more than 3.4 million to support local U.S. food banks and communities.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions."
"Water is also a critical resource at every step of our value chain, from supplier processes to our restaurant and office operations.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions as it focuses on"
"Using nature based solutions helps us to continue reducing our environmental impact related to climate and controlling the level of deforestation in our primary commodity chains.
",yes,no,," Based on the given sentence, it appears that the discussion is not directly about Scope 3 emissions"
"We are bringing together innovative forest and climate measurement systems to better assess the positive impact of forest conservation in our supply chains and advance more planet friendly processes.
",yes,no,," Based on the provided sentence, it is not explicitly discussing Scope 3 emissions. The focus is"
"To achieve our goal of eliminating deforestation from our global supply chain by the end of 2030, we are partnering globally with WWF, Proforest and industry groups to multiply positive impact.
",yes,no,," Based on the provided sentence, it does not discuss any specific category of Scope 3 emissions."
"We reviewed our soy footprint by volume with Proforest and worked with 3Keel to understand our area based footprint for priority commodities.
",yes,no,," Based on the provided sentence, it does not explicitly mention any specific Scope 3 category. The"
"We recently engaged with one of our major palm oil suppliers, Wilmar, on a series of projects to improve transparency and sustainability outcomes for our palm oil supply chain, alongside our joint partners in Proforest.
",yes,no,," Based on the provided sentence, it does not directly discuss or mention any specific scope 3 emission categories"
"Through this collaboration, we have been engaged in the development of the NDPE Implementation Reporting Framework (IRF), building on progress made to date to provide an overview of progress for all palm oil mills supporting a refinery.
",yes,no,," Based on the provided sentence, there is no clear mention or indication of scope 3 emissions being discussed"
"Our work will drive greater improvement in NDPE IRF Deforestation and Peat profiles as well as Land and Labor profiles within our supply chains, including greater engagement with smallholders to help improve traceability and sustainability outcomes.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions. The focus of"
"We are partnering with Tyson Foods on the row crop portion of Tyson Foods’ Climate Smart Commodities Grant Project and plan to commit 10 million in funding over five years.
",yes,no,," Based on the information provided, this sentence does not directly discuss Scope 3 emissions. The focus"
"At scale, this program aims to cover 2 million acres of crop land, some of which will be used to feed Tyson Foods’ chickens in the U.S., including those entering the McDonald’s U.S. supply chain through 2030.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions."
"If successful, the Climate Smart Commodities Grant Project also aims to reduce 170,000 metric tons of CO2e annually by year five of the program.
",yes,no,," Based on the provided sentence, it is not discussing specific Scope 3 categories as mentioned in the"
"Argentina, Cambodia, China, Indonesia, Laos, Malaysia, Russia and Vietnam and used directly as an ingredient in a McDonald’s product and listed on the to be Forest Stewardship Council (FSC ) certified or FSC controlled wood product’s ingredient statement.
",yes,no,," Based on the given sentence, it does not directly discuss Scope 3 emissions. Instead, it"
"McDonald’s requires all wood fiber sourced from these regions to be Forest Stewardship Council (FSC ) certified or FSC controlled wood sources with full chain of custody certification.
",yes,no,," Based on the given sentence, it does not discuss Scope 3 emissions directly. The sentence is"
"We are embracing technology and working closely with our suppliers and expert partners to improve efficiency and reduce risks.
",yes,no,," Based on the provided sentence, it does not explicitly discuss Scope 3 emissions or any specific emission"
"At McDonald’s, we look to scale the adoption of regenerative agriculture practices to improve soil health and biodiversity, optimize water availability, drive climate action through carbon sequestration and help restore and protect delicate ecosystems.
",yes,no,," Based on the given sentence, it is not explicitly discussing Scope 3 emissions as it mentions"
"Read our approach to supporting deforestation free supply chains on our Nature, Forests Water web page and our approach to regenerative agriculture on our Responsible Sourcing web page.
",yes,no,," Based on the context provided in the sentence, it does not explicitly discuss Scope 3 emissions or"
"In collaboration with Cargill, The Nature Conservancy and Target, we are supporting row crop farmers in Nebraska to implement regenerative agriculture practices with the aim to help mitigate climate change and improve the resiliency of land.
",yes,no,," Based on the provided sentence, it is not directly discussing Scope 3 emissions as there is no"
"We have verified through the ones undertaken at our suppliers’ farms that 96,700 hectares of land are being managed to support biodiversity in 2022.
",yes,no,," Based on the provided sentence, it is not discussing scope 3 emissions directly. The sentence appears to"
"Goal: In collaboration with our suppliers, producers and farmer partners, we will establish market appropriate targets for use of medically important antibiotics as defined by the WHO in our beef supply chain, and we will partner in the collection of antibiotic use data and measurement of progress on responsible use associated with global beef and dairy industries.
",yes,no,," Based on the provided text, it appears that the sentence is not directly discussing Scope 3 emissions"
"Our intention is to help drive positive behavioral change and transparency, as well as enable comprehensive assessment of antibiotic use across our in scope beef supply chains and industries in the future.
",yes,no,," Based on the provided sentence, it does not directly mention or discuss Scope 3 emissions. The"
"Segregated (SG), RSPO Mass Balance (MB) and Book and Claim (BC), although our global beef supply chain as of the end of 2022.
",yes,no,," Based on the provided sentence, it is not explicitly discussing Scope 3 emissions. However, some"
"In 2022, McDonald’s USA and its suppliers in the U.S. donated over 1.6 million pounds of food and paper combined from suppliers and distribution centers, helping divert excess items from landfills and waste worth more than 3.4 million to support local U.S. food banks and communities.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions as"
"Ukraine McDonald’s Ukraine donated over 160,000 food kits through our joint program with RMHC. Additionally, more than 700 metric tons of products were handed over to communities from our restaurants and distribution centers.
",yes,no,, This sentence is not discussing scope 3 emissions. The information provided pertains to McDonald's Ukraine
"Japan In support of medical workers, over 100,608 meals were provided by restaurants in McDonald’s Japan in Hyogo, Wakayama, Hokkaido, Chiba and Osaka prefectures.
",yes,no,," Based on the given sentence, there is no clear mention of scope 3 emissions. The sentence describes"
"The market also donated 10,000 meal tickets to 400 children’s cafeterias in Aichi, Gifu and Mie prefectures.
",yes,no,," Based on the information provided in the sentence, it does not seem to be discussing Scope 3"
"Greece McDonald’s Greece donated more than 8,000 food items to food banks.
",yes,no,, This sentence is not discussing scope 3 emissions. It is about a donation of food items by
"In these restaurants, guest packaging is collected in customer facing recycling bins for back of house or off site sorting and recycling utilizing existing local waste infrastructure systems.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions."
"Related Goals By the end of 2025, our goal is to implement global and local solutions across our business to expand the reduction, reuse or recycling of guest packaging, and create demand for recycled materials.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions. The sentence is"
"Response (1) Total weight of guest packaging: 1,000,573 metric tons of guest packaging and toys sourced for McDonald’s restaurants. (2) Percent made from recycled and or renewable materials: 81.0% of all of our primary guest packaging items are sourced from renewable, recycled or certified sources2, 3, 4. 97.2% of our primary fiber based guest packaging was sourced from recycled or certified sources in 2022.
",yes,no,," Based on the information provided in the sentence, it does not appear to be discussing Scope 3"
"Commentary Primary guest packaging is inclusive of centrally managed guest packaging and Happy Meal book and toy packaging for a significant portion of our system sales across more than 40,000 restaurants.
",yes,no,," Based on the provided sentence, it appears that the discussion is not specifically about Scope 3 emissions"
"McDonald’s products sold in restaurants, for example, soy oil.
",yes,no,," Based on the provided sentence, McDonald's products sold in restaurants, it appears that the discussion is"
"We work to provide innovative solutions that aim to reduce greenhouse gas emissions across our operated assets, help customers reduce their emissions and develop and deploy scalable technologies to help decarbonize high emitting sectors.
",yes,no,," Based on the provided sentence, it is not explicitly discussing Scope 3 emissions. The sentence ment"
"We seek and aspire to work with innovative suppliers to minimize environmental impacts in our supply chain.
",yes,no,," Based on the given sentence, it is not explicitly discussing Scope 3 emissions as it mentions"
"In 2021, we surpassed 5.5 billion in annual spending with local suppliers in select countries, and with diverse suppliers and small businesses globally.
",yes,no,," Based on the information provided in the sentence, it does not directly mention or discuss scope 3 emissions"
"We spent 2.4 billion of the 5.5 billion in the U.S. with businesses owned by minorities, women, lesbian, gay, bisexual and transgender individuals, veterans, service disabled veterans, people with disabilities and small businesses.
",yes,no,," Based on the information provided, this sentence does not appear to be discussing Scope 3 emissions."
"Actual future results, including in the sustainability focus areas, the achievement of ambitions to reach Scope 1 and Scope 2 net zero from operated assets by 2050, to reach Scope 1 and 2 net zero in Upstream Permian Basin unconventional operated assets by 2030, to eliminate routine flaring in line with World Bank Zero Routine Flaring, to reach near zero methane emissions from operated assets, to meet greenhouse gas emission reduction plans or goals, divestment and start up plans, and associated project plans technology efforts such as timing and outcome of projects to capture and store CO2, produce biofuels, integrate hydrogen projects, and use plastic waste as feedstock for advanced recycling future cash flows and reserve or resource changes could vary depending on the ability to execute operational objectives on a timely and successful basis policy and consumer support for emission reduction products and technology changes in laws and regulations including international treaties and laws and regulations regarding the sustainability focus areas, emissions, plastics, and carbon costs government incentives trade patterns and the development and enforcement of local, national and regional mandates unforeseen technical or operational difficulties the outcome of research efforts and future technology developments, including the ability to scale projects and technologies such as advanced recycling on a commercially competitive basis changes in supply and demand and other market factors affecting future prices of oil, gas, and petrochemical products availability of feedstocks for biofuels or advanced recycling changes in the relative energy mix across activities and geographies the actions of competitors changes in regional and global economic growth rates and consumer preferences actions taken by governments and consumers resulting from a pandemic changes in population growth, economic development or migration patterns military build ups or conflicts and other factors discussed in this release and in Item 1A.
",yes,no,," Based on the provided sentence, it is not specifically discussing Scope 3 emissions as mentioned in the"
"ExxonMobil Sustainability Report ExxonMobil reported emissions, including reductions and avoidance performance data, are based on a combination of measured and estimated data.
",yes,no,," Based on the provided sentence, it does not specifically mention or discuss any scope 3 emission categories."
"Emissions, reductions and avoidance estimates for non ExxonMobil operated facilities are included in the equity data and similarly may be updated as changes in the performance data are reported.
",yes,no,," Based on the given sentence, it appears that the discussion is related to emissions from non-Exx"
"Rides: Rides in electric taxis or public transportation.
",yes,no,," Based on the given sentence, the discussion is not directly about Scope 3 emissions as it ment"
"In 2022, Travalyst continued its alignment on the Travel Sustainable methodology and framework for accommodation that was developed and led by Booking.com, including exploring the next stages to expand the accommodation framework, standardizing definitions for recognized sustainability certifications and laying the foundation for an aligned verification model, in addition to releasing a framework methodology for calculating aviation sector emissions that can be used by all coalition members, including Booking Holdings.
",yes,no,," Based on the information provided in the sentence, it does not appear to directly discuss scope 3 emissions"
"By leading the shift away from the traditional concept of car ownership, traffic and pollution are lessened, and greenhouse gases are reduced.
",yes,no,," Based on the provided sentence, it is not directly discussing Scope 3 emissions as there is no"
"Data Center sustainability maturity assessment completed, and procurement related supplier questionnaire sent out to top suppliers.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions as"
"Booking Holdings regularly assesses its value chain to identify the risks to its infrastructure and adopts mitigating actions.
",yes,no,," Based on the information provided in the sentence, it does not explicitly mention any specific Scope 3"
"For each of the three scopes we have revised our calculation methods and updated our emissions data to reflect the more accurate figures.
",yes,no,," Based on the given sentence, it does not specifically mention any Scope 3 categories. Therefore,"
"While most suppliers have started to measure worker voice in their facilities, none have advanced to the next phase, which involves responding to and improving worker experience.
",yes,no,," Based on the given sentence, it does not directly discuss Scope 3 emissions as the topic is"
"When new materials and manufacturing processes are introduced in our supply chain, it’s a priority for us to anticipate, recognize, evaluate and control potential workplace hazards that may arise and cause sickness or impaired health.
",yes,no,," Based on the given sentence, it is not explicitly discussing scope 3 emissions as it is focusing on"
"NIKE developed an Industrial Hygiene Playbook that guides in scope suppliers on how to implement occupational health programs, policies and procedures to improve workplace conditions.
",yes,no,," Based on the given sentence, NIKE's Industrial Hygiene Playbook is focused on"
"With IOSH, we have successfully piloted an enterprise level program with our largest supplier groups to help their company leaders evaluate and improve the effectiveness of existing safety governance structure and safety leadership.
",yes,no,," Based on the provided sentence, there is no clear mention or indication of scope 3 emissions being discussed"
"Seven supplier groups representing 72 factories and more than 445,000 workers have completed the program by the end of FY22.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss any specific category of Scope"
"We plan to scale to the supplier groups in the Supplier Sustainability Council (SSC) in FY23 and to the remaining in scope supplier groups by 2025.
",yes,no,," Based on the provided sentence, there is no clear mention of emissions or any specific category of Scope"
"While working closely with third party consultants, 46% of our in scope suppliers (51 suppliers) have self assessed their culture and have met our threshold for building safe and healthy workplaces, with mature management systems now covering more than 439,000 workers in our supply chain.
",yes,no,," Based on the given sentence, it is not discussing Scope 3 emissions directly. Instead, it"
"We expect that all of the in scope suppliers and third party logistics providers we work with meet or exceed our foundational labor, health, safety and environmental expectations, which we share with them in our Code of Conduct and Code Leadership Standards (CLS).
",yes,no,," Based on the provided sentence, it is not explicitly discussing Scope 3 emissions. The sentence is"
"For Tier 2 material suppliers, who are likely less used to being assessed for compliance, we worked with a third party to develop a program to provide trainings and dedicated coaching to build the capabilities unique to their needs.
",yes,no,," Based on the provided text, it does not explicitly discuss any specific scope 3 emission category. The"
"The program is designed to help set the foundation of suppliers’ compliance management systems and enable issue remediation as the result.
",yes,no,," Based on the given sentence, it does not explicitly discuss Scope 3 emissions or any specific category"
"We expect to see more Tier 2 suppliers successfully meet our Foundational Expectation as they continue to set their foundations and build compliance management systems.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions. The sentence appears"
"For example, in chemical management, where we continue to raise the bar on our requirements suppliers are encouraged to engage with the ZDHC Foundation Supplier to Zero program, which brings to life the ZDHC ethos and supports our industry tool approach.
",yes,no,," Based on the provided context, there is no clear mention of specific scope 3 emissions categories being discussed"
"The suppliers also gather monthly for learnings and best practice sharing with their top management, and suppliers are coached to conduct self evaluation of the improvements, so they have the capability to continue their improvement journey.
",yes,no,," Based on the provided sentence, it does not explicitly discuss any specific category of Scope 3 emissions"
"We take the same innovative approach to reducing impact across our entire value chain from the way we manufacture and distribute products to the way we operate our offices, stores and distribution centers.
",yes,no,," Based on the provided sentence, it does not explicitly discuss any specific category of Scope 3 emissions"
"Our aim was to reduce our carbon and water footprint by completely rethinking the way we make textiles.
",yes,no,," Based on the given sentence, it is not explicitly discussing Scope 3 emissions. The sentence is"
"Our strategies include building engagement models and supplier capacity programs that enhance supplier ambition, action and resiliency over the long term.
",yes,no,," Based on the provided sentence, it does not explicitly discuss Scope 3 emissions or any specific emission"
"To amplify our impact, we are also leveraging industry groups across shared supply chains.
",yes,no,," Based on the given sentence, it is not explicitly discussing Scope 3 emissions or any specific category"
"Costs of onsite solar installations have fallen to the point where they are often less expensive than grid purchased electricity, thus offering financial savings for suppliers while also reducing their carbon footprint.
",yes,no,," Based on the information provided in the sentence, it does not appear that the sentence is discussing Scope"
"Onsite solar PV can typically cover up to 15% of electricity requirements at supplier facilities and can be scaled fairly quickly across sites, thus making it a major component of our renewable energy strategy with suppliers.
",yes,no,," Based on the given context, the sentence is not directly discussing Scope 3 emissions as it focuses"
"Since 2019, NIKE has offered an onsite solar PV consulting program to suppliers in key markets including China, Vietnam and Indonesia.
",yes,no,, The sentence is not directly discussing Scope 3 emissions as it mentions Nike's solar
"Through the program, NIKE has provided suppliers with technical advice and assistance, helping to reduce risk for suppliers during the contracting process and make the business case for these investments.
",yes,no,," Based on the given sentence, it does not directly discuss or mention any specific Scope 3 emission"
"During FY22, suppliers signed contracts for 96 MW of new onsite solar.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss any specific Scope 3"
"Since NIKE started the program, 190 MW of rooftop solar has been contracted at 64 facilities in NIKE’s supply chain.
",yes,no,," Based on the given sentence, it does not appear to be discussing Scope 3 emissions directly."
"Due to the onsite solar PV program, NIKE’s manufacturing base avoided 16,400 MT of CO2e in FY22.
",yes,no,, The sentence is not directly discussing Scope 3 emissions as it only mentions the avoided CO2
"Rooftop solar projects, which are concentrated in Vietnam, Greater China and Thailand, have helped suppliers grow their rooftop solar capacity42 by 184% from FY20 to FY21 and 69% from FY21 to FY22.
",yes,no,," Based on the provided sentence, there is no explicit mention of Scope 3 emissions or their categories"
"In FY22, NIKE began developing a Renewable Electricity Procurement Guide for suppliers to support their transition to cleaner electricity.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions."
"In FY22, through collaboration with the Clean Energy Investment Accelerator (CEIA), NIKE helped facilitate a bundled Renewable Energy Certificate (REC) agreement between Indonesia’s state owned electricity company and local suppliers.
",yes,no,," Based on the provided information, the sentence is not directly discussing Scope 3 emissions. However,"
"The program enables suppliers to purchase a verified and traceable source of renewable electricity at a fixed, competitive price for 10 15 years.
",yes,no,," Based on the provided sentence, it is not discussing Scope 3 emissions directly. However, the"
"The bundled REC program offers a good interim solution since buyers will be purchasing local energy, helping to encourage additional local development of renewable energy.
",yes,no,," Based on the given sentence, it is not discussing Scope 3 emissions directly as it mentions"
"Through the UN Fashion Charter, NIKE and participating brands have a goal to eliminate coal from finished goods and material suppliers by 2030.
",yes,no,," Based on the provided sentence, it does not directly discuss Scope 3 emissions as the focus is"
"Through this initiative, NIKE co chaired a working group that developed coal phase out plans for 48 boilers at 17 facilities across Vietnam including five supplier facilities.
",yes,no,," Based on the information provided in the sentence, it does not specifically mention any Scope 3 emissions"
"Beyond Vietnam, nearly all suppliers have plans in place to meet this target.
",yes,no,," Based on the provided sentence, it does not specifically mention any Scope 3 emission categories. Therefore"
"NIKE continues to seek options to pilot new thermal technologies through our engagement in the Renewable Thermal Collaborative.
",yes,no,," Based on the given sentence, it does not explicitly discuss Scope 3 emissions as it mentions"
"Additionally, NIKE’s Innovation teams are considering a whole suite of cross cutting technology solutions that may deliver long term emissions reductions in materials manufacturing.
",yes,no,," Based on the context provided in the sentence, it does not directly discuss any specific category of Scope"
"At the beginning of every five year target period, NIKE works with manufacturing suppliers to set both five year and annual targets to help achieve longer term goals.
",yes,no,," Based on the information provided in the sentence, it does not directly discuss Scope 3 emissions or"
"Eleven manufacturing suppliers belonging to the Supplier Sustainability Council (SSC) in FY22 accounted for up to 65% of strategic supplier emissions.
",yes,no,," Based on the provided sentence, it is not explicitly stating that the discussion is about Scope 3"
"In collaboration with the SSC, NIKE will create a joint climate action plan to serve as a roadmap for collective emissions reduction pathway over the next 10 years.
",yes,no,," Based on the given sentence, it does not explicitly mention any specific category of Scope 3 emissions"
"Additionally, NIKE continued driving positive change in the logistics industry with our Supply Chain Sustainability Index (SCSI), an evaluative framework that sets clear and consistent sustainability expectations for NIKE logistics service providers.
",yes,no,," Based on the provided context, the sentence is not directly discussing scope 3 emissions as it is focusing"
"FY22 was the sixth consecutive year that our inbound air and ocean providers have participated in the SCSI process.
",yes,no,," Based on the information provided, it appears that the sentence is not discussing Scope 3 emissions specifically"
