text,vague,predicted_vague
"Promoting solutions and managing disruptions and impacts on the value chain associated with climate change, public health, natural disasters, conflict, political impacts, and other impacts.
",generic,generic
"Values based decision making promotes accountability and helps ensure that integrity, quality, safety, and ethics are foundational to all we do.
",notESG,notESG
"In addition, the production of neoprene can contribute to climate change and volatile organic compounds emitted in the chemical processing plants can be harmful to human health and the environment.
",ambiguous,ambiguous
"SECTION SCOPE: In this section our climate emissions reduction work refers to actions by the company as well as our owned and independent bottling partners and our independent suppliers and partners.
",ambiguous,ambiguous
"We tailor our refillable packaging approach by market, based on local conditions.
",ambiguous,ambiguous
"We use the term supporting deforestation free supply chains below to more accurately reflect the actions we are currently taking to implement, measure and report progress toward our Commitment on Forests.
",ambiguous,ambiguous
"In 2021, we released our second Climate Assessment and Performance Report .
",notESG,notESG
"The three year, 1.5 million program empowers 13 grassroots youth play and sport organizations through an innovative, place based approach that focuses on neighborhoods and brings together local partners to leverage resources and tackle root causes that prevent girls from participating in play and sport.
",notESG,notESG
"USC is a nationally recognized safety training and educational organization, and this win marks the 12th year in a row that Walt Disney World locations and or individuals have been recognized.
",notESG,notESG
"I have experienced a better life since I started working with One Acre Fund, Consolee Dusabimana, an agroforestry farmer in Rwanda, said.
",notESG,notESG
"The Nominating and Governance Committee reports to and leads a discussion with the Board in executive session regarding the performance and effectiveness of the Board, each committee, and each director .
",notESG,notESG
"Wild caught fish refers to fish that come from seas, rivers and other natural bodies of water.
",notESG,notESG
"We regularly monitor issues and evolve our efforts to ensure we remain focused on the economic, environmental, and societal matters that impact those we serve.
",generic,generic
"The use of John Deere Reman components in this process also drives emissions reductions.
",ambiguous,ambiguous
"The Chief Privacy Officer reports to the Chief Legal Officer and sets the enterprise wide privacy program strategy, while the central privacy team provides oversight and creates a consistent approach to privacy and data protection.
",notESG,notESG
"This guide is credited with reducing such spills by more than 36% from 2016 to 2021.
",specific,specific
"Finally, we are investing in professional development of potential talent outside of NIKE through our partnerships with The Asian American Foundation (TAAF), Management Leadership for Tomorrow and OneTen.
",notESG,notESG
"Following the substantial achievement of our 2020 Responsible Sourcing Goals, we continue to work with our suppliers on what is outlined in those commitments, evaluating ongoing progress.
",ambiguous,ambiguous
"Health literacy is the measure of how patients get health information and services, understand them, and use them.
",notESG,notESG
"A portion of propane usage is estimated leveraging known propane usage.
",ambiguous,ambiguous
"At that time, progress and conversion rates had been delayed by the impacts of COVID 19 and the global outbreak of African Swine Fever, which resulted in extending this target by two years.
",ambiguous,ambiguous
"Through our annual EHS recognition program we recognize and celebrate actions taken by colleagues to implement or replicate innovative solutions that achieve measurable improvements in attaining an injury free Pfizer.
",notESG,notESG
"We are advancing infrastructure and technology for collecting, sorting and processing discarded plastics, which includes our plans to build approximately 500,000 metric tons annually of advanced recycling capacity by year end 2026 across multiple sites.
",specific,specific
"L. Neil Hunn President and Chief Executive Of cer, Roper Technologies, Inc.
",notESG,notESG
"Our training program encompasses role based scope of topics and depth of knowledge to drive training effectiveness.
",notESG,notESG
"Sugar has experienced double digit growth in five of the last six years.
",notESG,notESG
"To measure progress on our goals, we are building new tracking systems that will allow us to report on select quantitative measures.
",ambiguous,ambiguous
"Short haul trips are less fuel efficient per mile flown.
",notESG,notESG
"These sessions included best practices on how to establish a wage philosophy and build competitive pay ranges based on benchmarking local available data.
",notESG,notESG
"ExxonMobil engages with shareholders or their proxies on a range of issues.
",notESG,notESG
"Internal leaders can access the dashboard to review their teams’ progress toward our diverse spending goal.
",specific,specific
"The insights gained from this will be key to ensuring our chicken welfare efforts are mutually beneficial to the 5 billion birds covered and our suppliers, as well as the planet.
",ambiguous,ambiguous
"Incorporation of acquisitions in Sustainability Metrics is at the discretion of the business and is dependent on level of materiality.
",ambiguous,ambiguous
"Owned or operated data includes electricity only full energy view for FY22 can be seen on the previous pages.
",ambiguous,ambiguous
"Progress: We are partnering in the collection of antibiotic use data associated with global beef and dairy industries, leveraging independent third party parties to facilitate data aggregation.
",ambiguous,ambiguous
"We are focused on engaging, developing, and retaining a diverse workforce and leadership team.
",notESG,notESG
"Rider Seat Belt Alerts: To improve adoption of rear seat belt use, we began rolling out Rider Seat Belt Alerts to prompt riders to take this lifesaving step .
",notESG,notESG
"Disney is a place where careers are a journey of creativity, accomplishment, and celebration, and where everyone is respected.
",notESG,notESG
"In accordance with the Use of Proceeds defined on pages S 6 and S 7 of the Prospectus Supplement dated March 25, 2020, the proceeds were allocated to new projects and projects that had received funding in the three years prior to the issuance of the March 2020 Sustainability Bond as follows: (1) to help manage our environmental impact by supporting more environmentally efficient design and the construction of new office and manufacturing facilities, (2) to support increased patient access to Pfizer’s medicines and vaccines, especially among underserved populations, and (3) to help strengthen healthcare systems.
",specific,specific
"Product Our FlyEase sneakers are created with insights from the disability community.
",notESG,notESG
"Our Statement of Principles on Security and Human Rights highlights our commitment to conduct business in a way that protects the security of personnel, facilities and operations and respects human rights.
",notESG,notESG
"Chicken: Antibiotics shall not be used for routine prevention or for growth promotion.
",specific,specific
"We plan to publish a transition plan summarizing the strategies and actions we are taking to achieve our goal.
",ambiguous,ambiguous
"The Company’s goal is to provide its customers with storage capacity of more than 10 Mt CO2 year by 2030, with the ambi tion of lifting capacity to more than 50 Mt CO2 year by 2050.
",specific,specific
"How a company implements policies and procedures in its agricultural supply chain to have a net positive impact in an attempt to mitigate the impacts of climate change.
",ambiguous,ambiguous
"Our Supplier, Vendor and Contractor Expectations call for the operations and business practices of our suppliers to be conducted in a manner consistent with the International Labor Organization 1998 Declaration on Fundamental Principles and Rights at Work (ILO Declaration) and the goals of the United Nations Guiding Principles on Business and Human Rights (UNGPs).
",specific,specific
"These countries have been excluded from the statistical modeling due to insufficient headcount.
",notESG,notESG
"Furthermore, in 2022, brands measured and advanced their security and privacy program maturity against these frameworks, with third parties helping to assess each brand’s current state against these frameworks.
",notESG,notESG
"In sport, and in life, it’s easy to let your own doubts weigh you down to tell yourself you don’t have what it takes.
",notESG,notESG
"We recognize that while our analysis is thorough in comparison to those of our peers, there are limitations that we look to enhance in future disclosure .
",ambiguous,ambiguous
"Employees in the 3 2 work approach also benefit from Four Week Flex an opportunity to work from another location of their choice up to four weeks per year.
",notESG,notESG
"Approved by the Norwegian government in 2020, the project is currently in the construction phase.
",specific,specific
"We are committed to improving our ESG performance because it is crucial to our long term success as a responsible business and is essential to achieving our purpose.
",generic,generic
"We incorporate ethics and business integrity into internal performance evaluations, which are designed to enhance colleague accountability, including leadership performance with integrity.
",notESG,notESG
"Our Disney team based in India began supporting Wildlife SOS’s efforts in 2021 and continued support throughout 2022 to rescue and rehabilitate elephants illegally taken from the wild.
",notESG,notESG
"Internal experts, including leaders across the company, were consulted to select the risks and opportunities prioritized in this year’s TCFD reporting .
",ambiguous,ambiguous
"We have continued to engage the members and leaders of our Global Food Safety Advisory Council to consistently monitor and prepare for emerging risks globally.
",notESG,notESG
"By becoming an NCA, retail store employees learn critical and transferable in store and out of store skills, including communicating with vision and purpose, fostering effective teamwork, valuing differences, thinking strategically and building trust across teammates, leaders and partners.
",notESG,notESG
"Tallying updated NDCs to gauge emissions reductions in 2030 and progress toward Net Zero published on March 2, 2022.
",ambiguous,ambiguous
"To promote Company wide integration, our Chief Financial Officer has responsibility for the ILS program.
",notESG,notESG
"In Latin America, almost 60 employees have received training in our Heroes program .
",notESG,notESG
"Our values are uniquely Uber, and they define our culture, who we are as a company, and who we want to join us in the future .
",notESG,notESG
"Loss of riders and Uber Eats users: Consumer preferences including increased demand for sustainable goods and services additionally, lower demand, higher acquisition costs and lower retention due to increased prices resulting from increased supply chain, compliance, and driver acquisition costs due to climate related impact .
",ambiguous,ambiguous
"Attempted non consensual penetration Defined as: Without explicit consent from a user, someone attempted to penetrate the vagina or anus of a user with any body part or object .
",notESG,notESG
"Replenish benefits fall under three categories: Watershed Protection and Restoration (233.5 BL), Water for Productive Use (40.9 BL) and Water Access and Sanitation (17.4 BL).
",specific,specific
"Our company purpose Breakthroughs that change patients’ lives guides our environmental priorities, with a focus on impact reduction, conservation of resources, and the minimization of waste arising from our operations.
",generic,generic
"Assess: Determine whether controls are implemented correctly, operating as intended, and producing the desired outcome.
",notESG,notESG
"Attracting and retaining the best talent to solve some of the world’s biggest challenges.
",notESG,notESG
"In the U.S., we’re working with pork suppliers to phase out the use of gestation stalls for housing pregnant sows by the end of 2024.
",specific,specific
"Uber’s global Sustainability Team, led by our Global Head of Sustainability, brings together leaders from operations, product and engineering, policy, communications, marketing, business development, legal, workplace, and data science functions .
",notESG,notESG
"The center provides employees, cast members, and their partners with comprehensive, connected, and compassionate care to help navigate their family building journeys.
",notESG,notESG
"Formed partnerships with Simply Blue Group to develop floating offshore wind power in the United States.
",notESG,notESG
"We believe taking time to step away from work is important to help our employees be healthy, creative and productive.
",notESG,notESG
"We regularly engage our leaders and employees on these Standards through training and other forms of communication, and employees can confidentially report ethical concerns to our internal alert hotline, The Guideline.
",notESG,notESG
"Through proactive, business led risk management, Pfizer prioritizes integrity, safety, and quality in every aspect of our business.
",notESG,notESG
"We strive for a diverse workforce and productive work environment where individual and cultural differences are respected and valued.
",notESG,notESG
"The Council for International Organizations of Medical.
",notESG,notESG
"We are dedicated to running safe and environmentally responsible operations.
",generic,generic
"I build a bank of observations, make notes and look back over longer periods.
",notESG,notESG
"The construction of a large scale seawater treatment unit to increase water injection capacities in southern Iraq fields without increasing water withdrawals, as the country is currently facing a water stress situation.
",specific,specific
"As champions of physical well being, we encourage employees to make sport a daily habit by providing free access to NIKE Sports Centers, wide ranging fitness discounts and comprehensive preventive programs, healthcare and family building benefits.
",notESG,notESG
"Below Manager includes employees that do not meet Executive or Manager criteria.
",notESG,notESG
"The Board engages with both internal and external experts on issues of importance to the company.
",notESG,notESG
"The U.K. McDonald’s UK donated 1.2 million meals with FareShare (U.K.) and 50,000 meals with Food Cloud (Ireland).
",notESG,notESG
"A Shenzhou facility in Vietnam has replaced a centralized coal fired boiler system with electric boilers, greatly reducing GHG emissions.
",specific,specific
"As a publicly traded company in the U.S., we fulfill our disclosure obligations through public filings of our financial statements on a quarterly and annual basis, and other information required by U.S. securities laws.
",notESG,notESG
"Corruption corrodes the social fabric of society and undermines people’s trust in the political system, in its institutions, and in its leadership .
",notESG,notESG
"Our conduct is guided with the help and oversight of a variety of groups, including patient groups, institutional review boards, regulatory authorities, data and safety monitoring boards, medical and industry association guidelines governing ethical clinical trial conduct and research integrity, and our own Bioethics Advisory Council.
",notESG,notESG
"Because approximately 85% of our total carbon emissions come from goods and services we buy, it is essential to engage with suppliers to accurately capture our full scope 3 emissions and ensure our suppliers join our decarbonization journey.
",specific,specific
"In 2021, the IPCC assessed methane’s contribution to current warming at 0.5 C since pre industrial times.
",notESG,notESG
"We choose third parties based, in part, on the level of transparency of their processes and their ability to help us achieve our sustainability goals.
",ambiguous,ambiguous
"We offer more green and car free ride options than any other global mobility platform, providing no and low emission rides today in 100 metropolitan markets .
",specific,specific
"In FY22, we added new investments in professional development opportunities through stronger internal and external partnerships.
",notESG,notESG
"We worked with WWF Pakistan to develop a watershed stewardship plan for the Ravi River watershed, a sub basin of the Indus River Basin, and a priority watershed because it is a key ingredient sourcing (sugarcane) and market growth region.
",specific,specific
"From the Jayson Tatum Foundation, 100 Black Men of Metropolitan St. Louis, the Nigel Sylvester Foundation and Black Mother’s Forum (nominated by WNBA athlete, Kia Nurse) Jordan Community and Family Grants continued to drive sustainable change at the local level.
",notESG,notESG
"About 60% of that is from creating the upper part of shoes and 40% from making the midsole and outsole.
",specific,specific
"We now have a FlyEase model of many of our sneakers, across price points, to support independent living and self expression for people with disabilities.
",notESG,notESG
"In fiscal 2022, through the Disney Ultimate Toy Drive, more than 160,000 toys were collected at our sites, events, and through dedicated segments on our TV networks.
",notESG,notESG
"Agoda also launched its first Global Learning event, aGROWda, to drive engagement and inspire employees to explore growth and development opportunities.
",notESG,notESG
"We have continued to build better wage visibility year over year, and we continue to partner with the FLA in this effort.
",ambiguous,ambiguous
"The Disney Wish was primarily powered by liquified natural gas in fiscal 2022, which, when compared to traditional diesel or marine fuel, significantly reduces several emissions and pollutants.
",specific,specific
"This Index covers our 2022 progress, unless noted otherwise.
",notESG,notESG
"Rides: Electric taxis in 50 cities and public transportation available in app on Booking.com.
",notESG,notESG
"To encourage more sustainable fuel use in thermal processing of materials, NIKE joined seven other brands in our industry with the Apparel Impact Institute to explore options for coal elimination across the industry.
",ambiguous,ambiguous
"At the other end of the value chain product retailing the Company collects excise taxes from energy product users for states.
",notESG,notESG
"Safety is more than a priority at TotalEnergies it is a core value on which we will not compromise for any reason.
",notESG,notESG
"Scope 3 TotalEnergies reports Scope 3 GHG emissions, category 11, which correspond to indirect GHG emissions related to the use of energy products by customers, i.e.
",specific,specific
"Puerto Rico is excluded within racial ethnic representation but included in the Global Gender Representation.
",notESG,notESG
"In October 2021, the WHO authorized use of a malaria vaccine for children, a potential breakthrough in the fight against malaria.
",notESG,notESG
"Switzerland, Hong Kong, China, Japan, Taiwan and Australia.
",notESG,notESG
"Finished beverages (including sparkling soft drinks water, sports, coffee tea juice, value added dairy plant based beverages and emerging beverages).
",notESG,notESG
"We made strategic investments that advanced our Smart Industrial Operating Model and reinforced the achievement of our Leap Ambitions.
",notESG,notESG
"For years, a key pillar of our strategy has been to reduce the materials we use by lightweighting and optimizing our packaging.
",specific,specific
"For convenience and simplicity, those terms and terms such as Corporation , company, our, we, and its are sometimes used as abbreviated references to one or more specific affiliates or affiliate groups.
",notESG,notESG
"Our ambition is backed by a clear and disciplined investment strategy, with the objective of channeling half of our future investments to growing renewable energies, gas and new decarbonized molecules.
",ambiguous,ambiguous
"One MAESTRO is divided into ten essential principles, and includes requirements adopted from international stan dards on environmental management (ISO 14001:2015) and occupational health and safety (ISO 45001:2018).
",specific,specific
"Then, we plan to scale the framework to strategic supplier facilities.
",ambiguous,ambiguous
"In 2022, McDonald’s Corporation donated 20 million as part of our five year, 100 million commitment to support families when they need it most.
",notESG,notESG
"At over 90%, corrugated cardboard used for product packaging continues to be the primary waste driver at our distribution centers.
",specific,specific
"Thirteen sources using the methodology in the OGMP 2.0 reporting framework.
",notESG,notESG
"We understand that we must adapt and be nimble to keep pace with new innovations, broadening data sets, and emerging standards.
",generic,generic
"That’s why we’ve been making balanced meals more accessible to families across the world and offering options that contribute to recommended food groups, such as fruits, vegetables and low fat dairy.
",generic,generic
"TotalEnergies conducts multiple R D projects concerning water, such as the Sustainable Water Platform (SWAP), which aims to use renewable energy to treat and recycle rainwater and wastewater.
",specific,specific
"PEOPLE Our people, at all levels, should reflect the life experiences of our audiences.
",notESG,notESG
"By achieving our Net Zero goal we can mitigate many transition risks and maximize transition opportunities identified in the scenario analysis (e.g., meeting an increased demand for low carbon products and minimizing our exposure to volatile energy prices).
",ambiguous,ambiguous
"As we look to the future, we will continue to improve our data governance in collecting meaningful and actionable wage data and identifying ways to use this information in capability building and program focus.
",ambiguous,ambiguous
"ExxonMobil helps raise awareness about malaria in Angola as part of an annual World Malaria Day event.
",notESG,notESG
"Our business continuity plans are reviewed for compliance, performance and improvements via annual updates and periodic drills.
",notESG,notESG
"More than 240 film screenings across 28 U.S. states, as well as Canada and New Zealand.
",notESG,notESG
"The use of material when referring to ESG topics throughout our reporting is intended to flag the most important issues from our ESG assessment .
",generic,generic
"Following a successful rollout across on the bottle helps improve recyclability and scheduled to deliver material in 2023.
",ambiguous,ambiguous
"A diverse person may be defined as a minority , woman, disabled, LGBTQ and or veteran.
",notESG,notESG
"NIKE does not have significant emissions from upstream leased assets.
",specific,specific
"Its mission is to empower, inspire and invest in women at NIKE, which it activates through three pillars of focus: community, career development and connection.
",notESG,notESG
"Corporate clients are increasingly expressing interest in various ESG related issues .
",generic,generic
"Where feasible means that by removing an artificial preservative, there will not be a sacrifice in the food quality or safety standards, value or taste.
",notESG,notESG
"Progress: Across the in scope markets, HPCIA use has been eliminated in Australia, Brazil, Canada, Europe, Japan, South Korea and the U.S., with China expected to comply before the end of 2027.
",specific,specific
"Since 2015, TotalEnergies has been building a portfolio of flexi ble power generation using combined cycle gas turbine (CCGT) plants, with a capacity of 4 GW at end 2021.
",specific,specific
"The Disney Wish set sail in fiscal 2022 and was designed to be among the most energy efficient cruise ships on the water.
",specific,specific
"For the Wirtgen Group, similar training exists through its vocational program.
",notESG,notESG
"Partnered with the White House Uber worked with the White House to make it as easy as possible for everyone in the US to get vaccinated .
",notESG,notESG
"Since the program was started nearly 40 years ago, our employees and cast members worldwide have collectively contributed nearly 13 million hours of service to their communities.
",notESG,notESG
"Sales of petroleum products (from Marketing Services and Refining Chemicals bulk sales).
",notESG,notESG
"A failure, whether real or perceived, to address environmental and social impact matters or to achieve progress on our environmental and social impact initiatives on the anticipated timing or at all, could adversely affect our business, including by heightening other risks, such as those related to consumer behavior, consumer perceptions of our brand, labor availability and costs, supply chain interruptions, commodity costs, and legal and regulatory complexity.
",ambiguous,ambiguous
"The goal is to combine and balance the value of agricultural and forestry revenues with the value of co benefits for the population, soil, biodiversity, and the water cycle and that of carbon credits.
",generic,generic
"We are always looking for ways to provide travelers with transparent and credible information to make more mindful choices for their trips.
",generic,generic
"The project was issued a Green Mark Gold Certificate by the Singapore Building and Construction Authority in December 2022 and is on track for completion in 2023.
",specific,specific
"Two years into our five year journey to 2025, our focus on key materials with scalable options that can drive impact at scale has enabled NIKE to make tremendous progress toward our carbon reduction targets.
",ambiguous,ambiguous
"Several of our businesses supported beach cleanup events in fiscal 2022.
",notESG,notESG
"The world shifts towards a more sustainable path, emphasizing more inclusive development, driven by an increasing commitment to achieving development goals.
",generic,generic
"This ESG Report details our performance on Environmental, Social, and Governance topics and contains non financial disclosures covering the period of January 1, 2022, through December 31, 2022, unless otherwise stated.
",specific,specific
"Rooftop solar projects, which are concentrated in Vietnam, Greater China and Thailand, have helped suppliers grow their rooftop solar capacity42 by 184% from FY20 to FY21 and 69% from FY21 to FY22.
",specific,specific
"We embrace learning, flexibility and innovation to meet society’s evolving needs and outperform competition.
",notESG,notESG
"It will allow industrial emitters in Norway and elsewhere in Europe to store their emissions.
",ambiguous,ambiguous
"The Board, either as a whole or through committees, assesses major risks that relate to the Company and its performance, including risks that relate to key economic and market assumptions that inform the Company’s business plans (including significant transactions) and growth strategies, and significant operational risks related to the conduct of the Company’s day to day operations.
",ambiguous,ambiguous
"The Nominating and Governance Committee leads the Board refreshment process, which incorporates the perspectives of external experts and shareholders.
",notESG,notESG
"Strict food safety standards and protocols are embedded in everything we do, from food sourcing, menu development, packaging and distribution to the running of our restaurants.
",notESG,notESG
"We are on track to meet our goal of achieving the industry published targets (Predicted No Effect Concentrations) for antibiotics by 2025 and are piloting innovative wastewater management and treatment practices at several sites, including manufacturing and supplier sites, to advance our management of wastewater discharges.
",ambiguous,ambiguous
"The safeguards built into OIMS are integral to how we design, operate and maintain our facilities.
",notESG,notESG
"We push boundaries of what is possible to ensure the disability community is part of NIKE.
",notESG,notESG
"It’s a world where everyone in our next generation sees a brighter future.
",notESG,notESG
"We also continue to collaborate with the U.S. Agency for International Development (USAID), U.S. Department of State, as well as other global brands to support the Vietnam government’s launch of a new renewable electricity program.
",ambiguous,ambiguous
"Our Supplier, Vendor and Contractor Expectations call for the operations and business practices of these entities to be conducted in a manner consistent with the ILO Declaration, which recognizes freedom of association and includes the elimination of child labor, forced labor and workplace discrimination.
",specific,specific
"This included several facilities who will complete EDGE Gender Certification, a leading global assessment methodology and business certification standard for gender and intersectional equity.
",specific,specific
"ExxonMobil utilizes a source to contract platform that facilitates consideration of sustainability in the acquisition process.
",ambiguous,ambiguous
"As this is a normative scenario, the IEA does not present it as a forecast of changes in energy demand, but rather as a blueprint that would need to be followed to achieve the 2050 objective.
",ambiguous,ambiguous
"As the global health landscape continues to evolve, so do we, making innovation our greatest tool as we uncover new combinations, designs, and advances to address an array of challenges.
",notESG,notESG
"Through our partnership with Lime, we’ve expanded our micromobility coverage by more than 2 dozen cities in 11 countries, meaning micromobility services can now be accessed through the Uber app in over 170 cities worldwide .
",notESG,notESG
"In FY22, WON expanded its reach from 35 to 48 countries, hosting a variety of events and reaching more than 10,000 members globally.
",notESG,notESG
"Invited over 30,000 diverse suppliers from North America to apply for Year 1 of the Business Diversity Academy, dramatically scaling the program from six companies to over 75.
",notESG,notESG
"To improve the understanding of Pfizer’s resilience to the impacts of climate change, we conducted an in depth assessment of our exposure to physical and transition risks and opportunities using scenario analysis informed by data modelling insights from a global sustainability consultancy.
",specific,specific
"Improved detection of psychosocial risks at every level of the organization.
",notESG,notESG
"BIG ensures these operations receive the appropriate investments and expertise to foster long term success.
",notESG,notESG
"The platform evolved to include a multilingual worker its own human rights policy and establishing chains, engaging meaningfully with waste pickers, voice tool, diginexAPPRISE, which allows companies to a dedicated human rights program.
",ambiguous,ambiguous
"Smallholder farmers play an essential role in our supply chain.
",generic,generic
"These risks and uncertainties are dif cult to predict and often are outside of the control of the company.
",ambiguous,ambiguous
"Invested 200 million for high power charge points at more than.
",ambiguous,ambiguous
"By tracking our work, we can better understand what works, what doesn’t, and whether we are living up to the goals we are setting for ourselves.
",ambiguous,ambiguous
"For example, the E digital solution developed by our drillers at the Digital Factory provides a real time estimation of energy consumption by the different equipment in a drilling rig, along with the related greenhouse gas emissions.
",specific,specific
"There are no negotiations or minimum hours, only reasonable constraints on maximum hours to promote safety and comply with local regulations .
",notESG,notESG
"Everyone who uses the app must commit to adhering to Uber’s Community Guidelines, which are centered on 3 key principles: treating everyone with respect, helping to keep one another safe, and following the law .
",notESG,notESG
"Moreover, addressing environmental and social impact matters requires Systemwide as well as third party coordination and alignment, over which we do not have complete control and which may be unpredictable.
",ambiguous,ambiguous
"These programs included Artists for Humanity, Boyle Heights Arts Conservatory, Inner City Arts, Las Fotos Project, OrigiNation, Zumix and the teen programs at the Institute of Contemporary Art Boston and Museum of Fine Arts Boston.
",notESG,notESG
"Over the past decade, Disney has collaborated with Feeding America to improve access to nutritious meals.
",notESG,notESG
"This report details our key actions across these focus areas and describes how we’ve continued to implement our CSR strategy across our offerings, operations, and charitable giving initiatives.
",generic,generic
"Representation percentage excludes employees who did not self report race ethnicity .
",notESG,notESG
"While the level of influence that our environmental performance has on customer purchasing decisions has not been fully quantified, the number of customer and tender inquiries has been observed to increase each year.
",ambiguous,ambiguous
"In fiscal 2022, the DCF made nearly 6.7 million in grants, supporting more than 60 nonprofit organizations working across 32 countries.
",notESG,notESG
"Ronald McDonald House Charities and RMHC are trademarks of McDonald’s Corporation and its affiliates.
",notESG,notESG
"This new ambition has been integrated in the Company's One MAESTRO management system (see p. 50).
",ambiguous,ambiguous
"This solution can improve ef ciencies in the complicated harvest of a key food source for livestock and dairy cows.
",notESG,notESG
"We update stockholders on our quarterly and annual results through a publicly available webcast, our Annual Stockholders’ Meeting and through direct engagements.
",notESG,notESG
"We measure recruitment, retention and growth of our workforce through metrics where possible, given that certain jurisdictions may present challenges to tracking employee racial or ethnic demographics for legal or privacy reasons.
",ambiguous,ambiguous
"Girls are dropping out of sport at twice the rate of boys, and systemic inequities leave some communities in greater need.
",notESG,notESG
"Episodes feature candid conversations with athletes such as Laurie Hernandez, Raven Saunders and Karl Anthony Towns.
",notESG,notESG
"As one of the world’s largest and most recognized companies, we have an opportunity to use our size and scale to help address global challenges.
",generic,generic
"Additional breakdowns of Scope 1 and 2 emissions are shown below.
",specific,specific
"There is also an annual organizational review that includes succession planning and a talent review .
",notESG,notESG
"Below are brief definitions of climate related transition risks, physical risks, and opportunities that may affect Uber’s business or operations over the short, medium, or long term.
",generic,generic
"We’re not only considering their needs but also including them in the process.
",notESG,notESG
