sentence,gpt4_annotation,mistral_annotation,Comments,mistral_response
"Excluded are all leased properties, Disney Stores and Distribution Centers, TV stations, and all construction materials.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is about Scope 3"
"Excludes dailies, freelancers, contractors, casual seasonal, interns, and domestic TWDC employees not paid in the last 60 days.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"Domestic counts exclude Disney Cruise Line Shipboard.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions as it mentions several categories"
"Below Manager includes employees that do not meet Executive or Manager criteria.
",no,yes,, Employee commuting is a category of Scope 3 emissions.
"Data excludes contingent workers, student programs, daily employees, and seasonal employees.
",no,yes,," Based on the given sentence, it appears that the discussion is about Scope 3 emissions but does"
"Where relevant, we also highlight select information relevant to the Leisure Facilities, Hotels Lodging, Restaurants, Cruise Lines, Apparel, Accessories, and Footwear, and Toys Sporting Goods industries.
",no,yes,," Based on the provided text, it appears that the sentence is discussing scope 3 emissions as it ment"
"The Walt Disney Company Fiscal Year 2022 10 K, pp.
",no,yes,," Based on the context provided in your sentence, it appears that the discussion is about Scope 3"
"Examples include introducing alternatives to plastic merchandise bags and guest laundry bags, disposable cutlery, cold beverage lids, and even plastic drink garnish sticks.
",no,yes,," Based on the provided sentence, it is discussing activities that fall under the category of ""Purchased"
"The Disney Wish was primarily powered by liquefied natural gas in fiscal 2022, which, when compared to traditional diesel or marine fuel, significantly reduces several emissions and pollutants.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to the Disney Wish's"
"Acquired a 20% interest in Adani Green Energy Limited.
",no,yes,," Based on the information provided, it appears that the sentence is discussing a financial investment (an acquired interest"
"Acquired a 20% interest in Hysetco, operator of an H2 taxi fleet in Paris.
",no,yes,," The sentence is discussing the acquisition of a business interest (an investment), which falls under the Scope"
"Completed the first long haul flight powered by sustainable aviation fuel in partnership with Air France KLM, ADP and Airbus.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"Partnered with Shell, EBN and Gasunie on the Aramis CCS.
",no,yes,," Based on the provided context, it appears that the sentence is discussing upstream fuel and energy-related"
"Joined forces with Air Liquide, Borealis, Esso and Yara to decarbonize the Normandy basin with CCS.
",no,yes,," Based on the provided sentence, it appears that the discussion is about collaboration between companies (Air Liqu"
"Partnered with GHGSat for satellite based monitoring of offshore methane emissions batteries for electric vehicles.
",no,yes,," Based on the provided sentence, it is discussing emissions related to upstream fuel and energy-related activities"
"ArcelorMittal Nippon Steel to supply up to 0.5 Mt year of liquefied natural gas in India Signed an agreement to supply renewable power to Merck Co. g n i r e ff r u s n o i s s i m r u s r e m o t s u r u.
",no,yes,," Based on the information provided, the sentence is discussing scope 3 emissions under the category of ""F"
"Acquired a 23% interest in Yunlin, a 640 MW offshore project under construction in Taiwan.
",no,yes,," Based on the information provided in the sentence, it appears that this is discussing a scope 3 emissions"
"Partnered with Veolia to develop CO2 based microalgae cultivation to produce next generation biofuels.
",no,yes,," Based on the provided sentence, it is discussing activities that fall under the category of ""Upstream fu"
"Partnered with GHGSat for satellite based monitoring of offshore methane emissions.
",no,yes,, The sentence is discussing upstream fuel and energy-related activities that fall outside the scope 1 and
"Partnered with Daimler Trucks on decarbonized hydrogen for road transportation in Europe.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions specifically related to upstream fuel"
"To that, we add phased targets for reducing methane emissions (50% from 2020 levels by 2025 and 80% from 2020 levels by 2030) to move towards zero methane and an objective of less than 0.1 million cubic meters per day for routine gas flaring at our operated assets by 2025, before eliminating flaring com pletely by 2030.
",no,yes,," Based on the provided text, it is discussing scope 3 emissions specifically related to fuel and energy-"
"The results obtained in 2021 back up our ambition.
",no,yes,, I'm unable to determine if the sentence is discussing Scope 3 emissions based on the provided
"This applies to demand for energy overall, and to demand for oil, gas and coal.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions related to ""Fuel and"
"With this in mind, it should be noted that the current level of investment in upstream oil and gas is below the level modeled by the IEA in the NZE Scenario for 2022 2030 ( 320 billion and 350 billion in 2020 and 2021 versus 366 billion a year in the NZE Scenario).
",no,yes,," Based on the provided context, the sentence is discussing Scope 3 emissions related to ""Fuel"
"New molecules would account for around 25% of the ener gy produced by Total Energies, equivalent to 50 Mt year, in the form of biogas, hydrogen, or synthetic liquid fuels from the fol lowing circular reaction: H2 CO2 e fuels.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"This oil would be used, in particular, by the petrochemicals industry to produce around 10 Mt year of polymers, of which two thirds from the circular economy.
",no,yes,," Based on the provided information, this sentence is discussing Scope 3 emissions related to ""Fuel"
"United States Purchased from SunChase Power and aggregate capacity of 1.6 GW, including electricity storage.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to purchased goods and"
"Supplying gas to the Indian and Chinese markets TotalEnergies has signed agreements to supply LNG to India (up to 3 Mt per year with partner Adani) and China (up to 1.4 Mt per year via a contract with Shenergy Group).
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions under the category ""Fuel and"
"Petroleum products will have to meet increasingly stringent requirements on limiting the emissions related to their extraction and use.
",no,yes,," Based on the provided sentence, it is discussing emissions related to the extraction and use of petrole"
"All new projects are assessed for their contribution to the average carbon intensity of their category in the Upstream portfolio.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"In September 2021, TotalEnergies signed major multi energy agreements in Iraq covering the construction of a new gas network and treatment units, the construction of a large scale seawater treatment unit and the construction of a 1 GW pho tovoltaic power plant.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"Source: Kedge and the Institut national de l’ conomie circulaire.
",no,yes,," Based on the provided sentence, it appears that the discussion is about Scope 3 emissions as the"
"E fuels The production of e fuels from renewable hydrogen and cap tured CO2 is a promising avenue for decarbonizing transpor tation.
",no,yes,," Based on the given sentence, it appears to be discussing Scope 3 emissions related to ""F"
"The Company's Synova affiliate, with a produc tion capacity of 45 kt at end 2021, is involved in this part of the value chain.
",no,yes,," Based on the provided context, it appears that the sentence is discussing upstream activities related to the production"
"Advanced recycling, which can process waste that cannot be recycled mechanically and serve other markets, such as food grade plastics.
",no,yes,," The sentence is discussing the processing of sold products, which falls under the category of ""Processing of sold"
"The Company provides customers with biopoly mers made from biofeedstocks based on vegetable oils or used cooking oils processed at the La M de biorefinery (and soon Grandpuits), as well as polylactic acid (PLA), a fully recy clable and compostable bioplastic based on starch or sugar produced by its joint venture with Corbion at the PLA plant in Rayong, Thailand, and future unit at Grandpuits in France.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to the Company's production of"
"Climate and sustainable energy, with: A unit to produce sustainable aviation fuels that emit less than half the CO2 of their fossil equivalents and incorporate over 90% waste materials.
",no,yes,," Based on the given sentence, it is discussing a unit that produces sustainable aviation fuels which fall"
"A recycling unit for the pyrolysis of mixed, soiled plastics, for TotalEnergies’ European crackers to turn into virgin plastic for medical use and food contact.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions,"
"The Company will devote half of its investments to maintaining and adapting its upstream and downstream oil operations and the other half to growth in production and energy sales: 20% for LNG, 25% for renewables and electricity and 5% for new molecules (bio fuels, biogas, hydrogen and e fuels).
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned in the sentence is"
"For new oil and gas projects (greenfield and acquisitions), the intensity of Scope 1 2 greenhouse gas emissions is compared, depending on their nature, to the intensity of the average greenhouse gas emissions of upstream production assets or that of various downstream units (LNG plants, refin eries).
",no,yes,," Based on the given sentence, it appears that the discussion is focused on Scope 1 and S"
"For additional investments in existing assets (brown field projects), the investment will have to lower the Scope 1 2 emissions intensity of the asset in question.
",no,yes,," Based on the given sentence, it appears that the discussion is focused on reducing Scope 1 and"
"The goal is for each new investment to contribute to lowering the average intensity of the Company's Scope 1 2 greenhouse gas emis sions in its category.
",no,yes,," Based on the given sentence, it appears that the discussion is focused on Scope 1 and "
"The Scope 1 2 greenhouse gas intensity is below the aver age intensity of their category for new oil and gas projects and reduced for brownfield projects, additional measures to con trol emissions will be needed since the emissions intensity of certain upstream projects increases over time as production declines.
",no,yes,," Based on the provided text, the sentence is discussing Scope 3 emissions, specifically ""upstream"
"In addition, the average life of the Company's proved and proba ble oil and gas reserves is 18 years and the discounted value of its upstream assets beyond 2040 represents less than 15% of their total value.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions, specifically in the context of upstream fuel"
"In June 2020, TotalEnergies also reviewed its upstream assets that can be qualified as stranded , mean ing with reserves beyond 20 years and high production costs, whose overall reserves may therefore not be produced by 2050.
",no,yes,," The sentence is discussing Scope 3 emissions, specifically in the category of ""Upstream leased"
"In addition, to ensure robust accounting of its assets in the balance sheet, the Company uses an oil price trajectory that converges in 2040 with the price in the IEA's SDS scenar io ( 202250 b) and that converges after 2040 with the price retained for 2050 in the IEA's NZE scenario ( 202225 b) to cal culate impairment of its upstream assets.
",no,yes,," Based on the given sentence, the discussion is related to scope 3 emissions, specifically in the category"
"Activities related to renewable energies (wind, solar, bioener gy and hydropower), as well as the production of rechargeable and other batteries and accumulators.
",no,yes,, The sentence is discussing activities related to renewable energies and the production of batteries and accumulators.
"Activities related to new energy infrastructure for low carbon mobility (charge points for electric vehicles, hydrogen filling stations).
",no,yes,," Based on the provided sentence, it is discussing activities related to new energy infrastructure for low carbon mobility,"
"Certain petrochemical activities, notably biopolymer produc tion and mechanical or advanced recycling of plastics.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions, specifically in the context of"
"Other eligible activities include: Manufacture of biogas by anaerobic digestion of bio waste.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The activity mentioned, ""Manufacture"
"Activities related to carbon sinks (carbon capture and stor age, natural carbon sinks).
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions as it mentions various categories that"
"Taxonomy Regulation (EU) 2020 852, based on Commission Delegated Regulation (EU)2021 2139 of June 4, 2021, Commission Delegated Regulation (EU) 2021 2178 of July 6, 2021 and the additional delegated regulation on natural gas related activities.
",no,yes,," Based on the provided text, it is discussing Scope 3 emissions as it mentions various categories"
"Invest in emissions reduction projects (400 projects identified, 450 million over 2018 2025 in Downstream).
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned in the sentence is"
"Become a major player in the production of clean H2. Become a producer of e fuels.
",no,yes,," Based on the provided context, it appears that the sentence is discussing activities related to Scope 3"
"These objectives, taken from each country’s nationally determined contributions (NDCs)3, cover direct emissions on their territory, comparable to Scope 1 for businesses.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 1"
"This is not the major ity (around 15%) but should be reduced as a priority.
",no,yes,," Based on the provided context, the sentence is discussing reducing Scope 3 emissions, specifically stating that"
"The second, bigger, part (around 85%) corresponds to the use of energy, either by combustion to generate electricity, for example, or in industrial processes, and is the target of projects to improve our energy efficiency.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions, specifically the category ""Fuel and energy"
"Six TWh year will be routed to European sites under a PPA2.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to energy purchasing through a Power P"
"For example, the E digital solution developed by our drillers at the Digital Factory provides a real time estimation of energy consumption by the different equipment in a drilling rig, along with the related greenhouse gas emissions.
",no,yes,," The sentence is discussing Scope 3 emissions specifically related to ""fuel and energy-related activities"
"E was deployed on the Maersk Voyager1 in 2020, resulting in fuel savings of around 7% and 1,000 tons of avoided CO2 emissions over one year.
",no,yes,," The sentence is discussing Scope 3 emissions specifically related to ""Fuel and energy-related activities"
"It includes a 75% reduction in methane emissions from the coal, oil and gas industries between 2020 and 2030.
",no,yes,," Based on the information provided in the sentence, it is discussing scope 3 emissions related to ""F"
"Measuring methane emissions more accurately Methane emissions have numerous and dispersed sources.
",no,yes,," Based on the given sentence, it is discussing methane emissions which fall under the category of ""F"
"Emissions associated with incomplete gas combustion, based on a standardized estimate of 2% of volumes flared.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions, specifically under the category """
"Abating our emissions at each source Methane emissions are primarily attributable to venting (more than half the total) and flaring6 (a quarter of the total) the rest are fugitive emissions (i.e., leaks at valves, flanges and cou plings) or the product of incomplete gas combustion at our facilities (turbines, furnaces, boilers, etc.).
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions, specifically related to fuel and energy"
"In order to reach zero methane emissions, stronger action will be taken on each of these emission sources: Reductions in venting: projects to reroute vents to the gas export system or the flare and to reduce instrument gas on producing assets.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is focused on scope 1"
"The CO2 associated with that natural gas, known as native CO2, is isolated and injected into the subsurface.
",no,yes,," Based on the provided context, it seems that the sentence is discussing ""Fuel and energy-related"
"Supplying blue hydrogen to our refineries  In the Netherlands, the Company is studying a project to capture 900,000 tons year of CO2 generated by the Zeeland refinery’s hydrogen plant as of 2026.
",no,yes,," The sentence is discussing Scope 3 emissions, specifically under the category ""Fuel and energy-"
"The carbon would then be transported and stored as part of the Aramis project.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to ""Upstream transportation and distribution"
"In Belgium, the Company and its partners are studying the CO2 Antwerp C project to collect and transport CO2 emissions from the Antwerp industrial port.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to scope 3"
"Half of those emissions were attributable to its interests in sites it operates1 interests in sites operated by its partners accounted for the other half.
",no,yes,," Based on the given text, it appears that the sentence is discussing Scope 3 emissions. Specific"
"For the first time in 2021, TotalEnergies released the meth ane emissions from its non operated assets.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions specifically"
"Gas is a transition fuel that allows cus tomers to replace the higher emitting coal they use and that TotalEnergies does not produce or sell (the Company withdrew from coal in 2016).
",no,yes,," Based on the provided text, it appears that the sentence is discussing emissions related to fuel and energy-"
"Petroleum products including bulk sales from refining and biomass and natural gas, excluding minority interests in listed companies.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned is ""Fuel"
"As of 2018, transportation generated approximately 17% of global GHG emissions.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions specifically related to the ""F"
"Deployment of charging infrastructure 150,000 charge points worldwide by 2025.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to scope 3"
"Including service stations, B2B sites and government concessions.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"Shipping The maritime sector accounts for 90% of all goods transporta tion and 3% of global carbon emissions.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. Specifically, it mentions ""f"
"Although heavy fuel oil remains the most common fuel for ship propulsion, the use of LNG, a transition fuel, can reduce CO2 emissions by 20%.
",no,yes,," Based on the given sentence, it is discussing emissions related to fuel and energy-related activities that are"
"In the medium term, decarbonized liquid fuels (such as e fuel or biofuels) and the use of hydrogen or ammonia will make it possible to reduce those emissions still further.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is focused on reducing emissions related"
"TotalEner gies is working with major shipping companies to define the most appropriate fuels for achieving their decarbonization roadmaps.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"In addition, several truck manufacturers are looking at hydrogen as an attractive alter native for longer trips.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions under the category ""Fuel"
"Supplying LNG to cruise ships and maritime transport March 2021: TotalEnergies signs an agreement.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions specifically"
"Microsoft (47 MW) and Orange (100 GWh year) one with Air Liquide (50 GWh year of the U.S. and Europe).
",no,yes,," Based on the information provided, it appears that the sentence is discussing scope 3 emissions related to fuel"
"The deployment of infrastructure (charging stations, hydrogen).
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions under the category of ""F"
"The development of low carbon and renewable fuels for the transportation industry.
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions under the category of ""Fuel"
"This includes 4 Mt of emissions from CCGT power plants following the implementation of the Com pany’s new strategy in electricity to have flexible generation capacity the decline for operated oil gas activities actually came to 30%.
",no,yes,," Based on the provided sentence, it appears that the discussion is focused on scope 3 emissions related to"
"Production of Exploration Production marketable gas and sales of LNG.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category would be ""Fuel"
"Sales of petroleum products (from Marketing Services and Refining Chemicals bulk sales).
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned in the sentence is"
"Welcoming Employees with Disabilities TotalEnergies promotes employment for people with disabili ties both directly, through our own hires, and indirectly through our purchases from the sheltered employment sector as part of our responsible procurement policy.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"SMART: Specific, Measurable, Additional, Realistic, Time bound.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"Re employing products for similar uses so they do not become waste.
",no,yes,," The sentence is discussing the use of sold products, which falls under the category ""Use of sold products"
"In early 2022, the Company set an objective to increase that by recovering, on average, more than 70% of its waste by 2030.
",no,yes,," The sentence is discussing scope 3 emissions, specifically in the category of ""Waste generated in operations"
"The Alliance aims to devote 1.5 billion over five years to financing the development of solutions to reduce and process (reuse, recycle and recover) plastic waste in the environment, particularly in the oceans.
",no,yes,," Based on the given sentence, it appears that the discussion is related to reducing and processing plastic waste in"
"The collected waste is baled and transferred to the Coliba plant for processing and then re sale.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to the ""Processing of sold products"
"Includes external factors, without which this figure would be 21 kt.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions as it mentions ""external"
"The first chapter of the partnership concerned gas, with the 2018 investment in a regasification terminal in Dhamra and distribution of municipal gas.
",no,yes,," Based on the provided context, it appears that the sentence is discussing activities related to Scope 3"
"These agreements include: The construction of a new gas gathering network and treatment units to supply the local power stations, with TotalEnergies also bringing its expertise to optimize the oil and gas production of the Ratawi field by building and operating new capacities.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"Sharing the Revenues from Energy Production and Sales In oil and gas producing countries, TotalEnergies’ operated activities upstream are governed by contracts awarded by or signed with governments, state owned enterprises and, occasionally, private landowners.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions specifically related to ""Upstream"
"The first concerns reducing emissions from the Company’s facilities and factors in the cost of carbon in purchases of all goods and services with an impact on operations.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The category mentioned in the sentence is """
"Excluding petroleum products and vessel chartering by Trading Shipping.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions as it mentions various categories"
"As seen in the chart below, TotalEnergies is recognized as a benchmark in its industry for the quality of its handling of environmental issues, civic responsibility requirements and good governance.
",no,yes,, I'm unable to determine if the sentence is discussing Scope 3 emissions directly based on the
"The output will be trans ported to the port of Tanga in Tanzania via a pipeline built and operated by East African Crude Oil Pipeline (EACOP).
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions under the category ""Upstream"
"Creating Shared Value Detailed plans with specific figures concerning local content, i.e., local jobs, purchases of local goods and services, and development of local skills, have been submitted to national authorities for the Tilenga and EACOP projects.
",no,yes,," Based on the provided sentence, it appears that the discussion is about ""purchases of local goods"
"Scope 1 Scope 1 emissions are direct emissions of greenhouse gases from a company’s sites or activities.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"In order to avoid double counting, this methodology accounts for the larger vol ume in the oil or gas value chain, i.e.
",no,yes,," Based on the provided text, it is discussing emissions in the oil or gas value chain, which falls"
"A stoichiometric emission (oxidation of molecules to carbon dioxide) factor is applied to these sales to obtain an emission volume.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions, specifically ""sales"" which includes the"
"Products not intended for combustion, such as bitumen, lubri cants and plastics, are not taken into account Less the CO2 sequestered by Carbon Capture and Storage (CCS) and natural carbon sinks.
",no,yes,," Based on the provided text, it is discussing Scope 3 emissions, specifically mentioning categories such"
"Including Europe: E.U. 27 Norway UK Switzerland Mt CO2e Mt CO2e.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions as it mentions various categories"
"Oil products including bulk refining sales and biofuels Natural Gas excluding minori ty stakes in public companies.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions, specifically related to ""O"
"As of 2020: producing affiliate sites in Exploration Production Refining Chemicals and Marketing Services sites where annual production exceeds 250,000 tons gas fired power plants in Integrated Gas, Renewables Power.
",no,yes,," Based on the provided sentence, it appears that the discussion is about specific types of affiliates and sites in"
"Includes blue hydrogen produced from natural gas via steam reforming combined with carbon capture and storage (car bon footprint below 36.4 g CO2 MJ) and green hydrogen pro duced via electrolysis of water using renewable electricity.
",no,yes,," Based on the provided text, it appears that the sentence is discussing Scope 3 emissions related to"
"Sites and industrial assets in which TotalEnergies or one of the companies it controls is the operator, i.e., either operates or contractually manages the operations.
",no,yes,," Based on the information provided in the sentence, it appears that the sentence is discussing emissions related to sites"
"Does not include power gener ation from renewable sources or natural gas, such as com bined cycle gas turbine plants.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions as it mentions several categories"
"BiomethaneFuelsGasPlasticsLubricantsBiofuels,E fuels, H2BioplasticsSolarWindNatural gasOilElectricityResources generated from circular management (bio based plastic, waste, CO2)Biomass resourcesHydrogenRe neries, PetrochemicalBiore neriesProductionE fuels RecyclingCO2Naturalcarbon sinksCarbon capture and storageNew moleculesElectricityDISTRIBUTETRANSFORM TRANSPORTPRODUCEStorageRenewable energiesNatural Gas Gas redpower plantsOilLique ed Natural Gas Cautionary Note The terms TotalEnergies, TotalEnergies company or Company in this document are used to designate TotalEnergies SE and the consolidated enti ties that are directly or indirectly controlled by TotalEnergies SE.
",no,yes,," Based on the provided text, it is discussing various types of resources, fuels, and energies,"
"Likewise, the words we, us and our may also be used to refer to these entities or to their employees.
",no,yes,," Based on the given text, it is discussing Scope 3 emissions as it mentions various categories"
"Company employees, who include those in our corporate offices as well as in Company owned and operated restaurants, totaled over 150,000 worldwide as of year end 2022, of which approximately 70% were based outside of the U.S.
",no,yes,, Employee commuting
"Go to related topics in this PDF wherever you see this symbol.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"Go to more detail online wherever you see this symbol.
",no,yes,, The sentence does discuss Scope 3 emissions as it lists several categories that fall under this category according
"The System: The Company, its Franchisees and suppliers are collectively referred to as the System also known as McDonald’s three legged stool.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions, specifically the category of """
"Franchisees: Collective group of independent individuals and entities owning and operating McDonald’s restaurants under one of the following structures conventional franchise, developmental license or affiliate for more information, please see the Company’s Annual Report.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned in the sentence is"
"Includes restaurants owned by the Company and its Franchisees.
",no,yes,," Based on the sentence provided, it is discussing Scope 3 emissions with a specific focus on the"
"In addition, certain information in this report has been provided by third parties, including our suppliers.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to scope 3 emissions as mentioned"
"Our Franchisees and suppliers are independent business owners who make decisions for their own organizations while maintaining core standards for our brand and customer satisfaction.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions as"
"In 2022, our Building a Safe, Respectful and Inclusive Workplace global eLearning module, available for crew and managers, was made available in multiple languages and offered to Franchisees and Developmental Licensees (DLs) as support.
",no,yes,," Based on the provided sentence, the discussion is about ""Franchises"" which is a category of"
"Scope: Inclusive of all markets for our fiber based guest packaging and Happy Meal book and toy packaging.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions as"
"Source: ISO 14021:2016 for plastic, ASTM 6866 or ISO 16620 2.
",no,yes,," Based on the given context, the sentence is discussing Scope 3 emissions as it mentions various"
"Please refer to our Nature, Forests Water web page for additional definitions.
",no,yes,," Based on the given context, the sentence is discussing Scope 3 emissions as it mentions various"
