text,llm_responses,scope3,vague
"FY20 was the target year for our FY20 targets (FY15 20) and is the baseline year for the majority of our 2025 targets.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The continual expansion of our Purpose targets’ depth and breadth is a key element of our strategy.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As such, we introduced new areas included in target scope with the 2025 targets.
","{'scope3': 'no', 'vague': 'neutral'}",no,neutral
"As a result, in many cases, FY20 values disclosed in the FY20 NIKE Impact Report differ from those provided in this report, reflecting the more inclusive measurement scope in our most current targets.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"For the nine Planet targets and the three Supply Chain targets, the target year (when target value achievement is measured) is considered the full FY25.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For the Foundational Expectations target and the People targets, FY25 Q4 constitutes the final measurement period.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A diverse person may be defined as a minority , woman, disabled, LGBTQ and or veteran.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Minority is defined as African American, Hispanic, Asian American, Native American, Pacific Islander or other types of ethnic minorities here in the United States.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The basis for the revised spend data is based on three driving factors: We validated existing suppliers that qualified as diverse, but were not previously designated.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This included researching the suppliers’ certification, that the certification had been accurately recorded in our systems, and that the resulting spend data was reflected correctly.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We have increased our outreach to Tier 1 suppliers (prime contractors) to report their Tier 2 (subcontractor) spend.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"We increased our survey scope from 16 to 200 suppliers (representing the majority of total indirect spend).
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"This resulted in suppliers retroactively reporting their historic Tier 2 spend, which was not previously asked for by NIKE.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have been able to significantly improve the frequency and maturity of our data quality (validation) reviews.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This index measures the emotional commitment our teammates have for NIKE, influenced by their day to day experiences.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This index measures the extent that our teammates feel that NIKE supports a culture of diversity and inclusion, as well as their personal perceptions around feeling valued and included.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We are able to measure our percent favorability, and assess whether we score within the top quartile.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Level 3 safety and health maturity on Culture of Safety Maturity Assessment.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"While most suppliers have started to measure worker voice in their facilities, none have advanced to the next phase, which involves responding to and improving worker experience.
","{'scope3': 'no', 'vague': 'ambiguous in relation to ESG, but the statement seems to relate to labor practices or social issues rather than environmental or governance issues.'}",no,"ambiguous in relation to ESG, but the statement seems to relate to labor practices or social issues rather than environmental or governance issues."
"We will begin reporting on progress next year as suppliers begin to enter this next phase.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"The baseline for this target was created in FY21 and this information wasn’t measured in FY20.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Standards lay out the minimum standards we expect each supplier facility to meet.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our scope for this target includes Tier 1 finished good suppliers, Tier 2 material suppliers representing approximately 90% of our footwear uppers and apparel materials, focus DCs representing at least 80% of volume, and our NIKE owned or operated manufacturing facilities (Air MI).
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Apparel EPMs: recycled polyester, organic cotton, recycled cotton, third party certified cotton.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Apparel manufacturing waste not yet included in reporting scope as data sources for target tracking are under establishment.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"Diverted: Includes waste to energy incineration, recycled waste and composted waste.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We use an apportioned methodology when accounting for units recycled, to address the constraint that a full unit cannot always be recycled.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"To avoid overclaiming benefits from recycling, we only count the portion of the unit that is recycled in our target performance numbers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Being seen, heard and included is much more than a numbers game.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"But by measuring our progress and charting representation across gender, race, ethnicity and identity, we keep ourselves accountable.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In doing so, we’re moving closer to achieving the equity that every team, supplier, partner and organization we work with deserves.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I was a kid in Compton, a place that was most definitely not known for churning out world class tennis athletes.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"My sister, Venus, and I knew that the courts we practiced on weren’t opened with us in mind.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"As my game grew and my career advanced, I understood that so many elements of the game from the rules to the gear weren’t designed for players like me.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Whether it was the fit, the form, the function or the style, I was not represented and I had to make it my own.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"So I’d be remiss if I didn’t fiercely advocate for the next generation of female players and young Black and Brown creators.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Often overlooked in design fields, the creative contributions we have yet to make are what’s needed to make our world brighter, bolder and better.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Whether on the court or in the studio, seeing more players and designers like me and like you, who are not afraid to bring our best game will make all the difference.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At Serena Williams Design Crew, we come from different backgrounds and think differently.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I was a kid in Compton, a place that was most definitely not known for churning out world class tennis athletes.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"My sister, Venus, and I knew that the courts we practiced on weren’t opened with us in mind.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"As my game grew and my career advanced, I understood that so many elements of the game from the rules to the gear weren’t designed for players like me.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Whether it was the fit, the form, the function or the style, I was not represented and I had to make it my own.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"So I’d be remiss if I didn’t fiercely advocate for the next generation of female players and young Black and Brown creators.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Often overlooked in design fields, the creative contributions we have yet to make are what’s needed to make our world brighter, bolder and better.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Whether on the court or in the studio, seeing more players and designers like me and like you, who are not afraid to bring our best game will make all the difference.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It is what will dare people, like you and my young daughter, to dream even bigger, and maybe even achieve a major award or a grand slam or two.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Each year we choose 10 up and coming designers of diverse backgrounds and perspectives, with the mission of seeding a new era in design and expanding sport for a new generation.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Much like me, the SWDC apprentices have a bold and progressive vision.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I want to empower them to not follow trends, but instead create them.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"What some say does not match, ends up coming together beautifully.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At SWDC, we represent different backgrounds and think differently.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"When we set out to build the largest WNBA roster in Jordan Brand history it wasn’t about setting records, it was about setting the standard.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We wanted to show off the depth and diversity of play across the women’s game, and to create a legacy that invites in a new generation onto the court with us.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"NIKE wants to be a leader in building a diverse, inclusive team and culture, and this target is important in our work to create the equitable playing field of the future.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Gender equity in the workplace is part of our goal of creating an environment that enables self identified women to reach their full potential and reflect the female athletes and the communities where we live, work and play.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Our FY21 representation of women in our global corporate workforce (50.4%) increased by 0.7 percentage points to 51.1% in FY22, allowing us to surpass our target.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"And, we went from 43% of women in leadership positions to 44.1% in FY22, 0.9 percentage points shy of our 45% 2025 target.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We continued to expand our diversity recruitment, talent development and retention practices, adopting a data driven approach to guide our actions and decisions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"People Representation Hiring experiences specific to gender identity, race and or ethnicity, and sexual orientation.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The purpose of the FLDP is to help accelerate the movement, representation and retention of talent.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A cohort based series of professional development courses for Manager to Senior Director level women, ADL supports career advancement through highly interactive, learning focused sessions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Participants gain access to best practices and new tools that help them be more effective as business leaders, and a wide network of like minded peers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The courses are facilitator led and include opportunities for networking and individualized support.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also continued to build deeper and stronger relationships with 10 strategic women only external partners, including Girls in Tech, Grace Hopper Celebration, Latinas in Tech, Lesbians Who Tech, Women Back to Work and the Society of Women Engineers, to help drive representation, retention and development opportunities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In addition to helping NIKE source candidates from a variety of backgrounds, these partnerships offer unique benefits, supporting career development through professional memberships, leadership and technical trainings, networking and team building.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"NIKE’s diverse group of employees participated in 50 Diversity, Equity and Inclusion (DEI) conferences in FY22, of which 12 focused on professional women and their needs.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"An opt in program in partnership with world class, expert leadership development firms, the purpose of the FLDP is to help accelerate the movement, representation and retention of talent.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I am very proud to inspire personal growth and career advancement with my women athlete peers by encouraging store athletes to participate in discussions on women’s topics and share their experiences at community events.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY22, we added new investments in professional development opportunities through stronger internal and external partnerships.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Based on the positive response from over 40 WIN participants and their managers, we are expanding the WIN program in FY23 to also include former U.S. track field athletes.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY21, we launched Valari, a nine month fellowship that engaged the talents of former caregivers who have already paved a way in the technology industry and are eager to get back in the game.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The program provided curated learning experiences for managers and fellows to accelerate their leadership development, including career coaching, executive sponsors and NikeUNITED Networks support, as well as mentorship.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY22, all Valari fellows were offered and accepted full time Director level positions in the technology organization, landing on teams that are critical to our overall Consumer Direct Acceleration offense, including Enterprise Data and Analytics, and Technical Product Management.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A retreat in Hawaii for Asian Americans and Pacific Islander (AAPI) women, LEAP is a first of kind leadership development and wellness program for those who identify as women in the AAPI community.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Internally, we have continued to work to accelerate the career trajectory of women in the workplace by investing in signature programs to increase a sense of belonging, community and professional development.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Building on the success of the previous cohorts, in FY22 we expanded this 24 month program designed for retired and retiring Women’s National Basketball Association (WNBA) players.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our Women of NIKE and Friends Network has a mission to empower, inspire and invest in women at NIKE.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We identify and nurture high potential individuals to help develop strong talent for the future.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY22, we revamped the curriculum of two signature programs focused on Directors and Senior Directors, and we continued to offer mentorship and on the job training.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also provided development opportunities with external partners.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At the executive level, we regularly conduct talent assessment evaluations that inform the types of training opportunities offered to our most senior leaders, including women in senior leadership positions.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We leverage a variety of programs, including executive coaching, 360 degree reviews that better inform individual development plans, and quarterly executive development meetings.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Since its establishment in 2010, WON continues to play a significant role in supporting gender equity in the workplace.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Its mission is to empower, inspire and invest in women at NIKE, which it activates through three pillars of focus: community, career development and connection.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY22, WON expanded its reach from 35 to 48 countries, hosting a variety of events and reaching more than 10,000 members globally.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY23, WON will work to elevate the needs of the women of NIKE through community building and career development opportunities, all while continuing to listen and learn, taking a data driven approach, conducting surveys, and sharing insights with the business and its members.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At NIKE, we are committed to attracting and fostering racial and ethnic minority leaders as we continue to create an inclusive culture and innovative company.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We believe that a diverse leadership allows us to not only serve our consumers and their communities better, but also be a better company.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have focused our efforts in two different areas: hiring new, world class talent, and retaining them, which includes developing and promoting internal talent across all levels and across all U.S. racial and ethnic minorities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In FY22, we increased the percentage of U.S. racial and ethnic minorities at Director level and above to 34.5%.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"This is a four percentage point increase, putting us above our 2025 target of 30% in FY22.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Our DEI strategy has focused on increasing representation through key partnerships with organizations like The Alumni Society, driving awareness of NIKE as a career destination for racial and ethnic minorities, offering focused development opportunities for a diversity of internal talent at the mid level and above and enhancing the day to day sense of community for a diversity of populations at NIKE.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"For example, in FY22 we continued to expand participation in McKinsey Company’s management program for mid level leaders and McKinsey Academy for our Senior Directors, Vice Presidents and CNEXT platform emerging leaders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We continued to invest in NikeUNITED Networks and have steadily increased participation in NIKE’s DEI mentorship program for corporate employees in the U.S., which strives to further promote equity, opportunity, belonging and inclusivity.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In FY22, 1,028 employees participated in the program across 19 functions, and 98.5% of participants found the program a valuable experience overall.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The NikeUNITED Employee Networks bring together employees and allies who represent the unique experiences, perspectives, and ideas of our diverse global employee team.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Networks serve to advance the development of their members, promote NIKE cultural awareness, and demonstrate our commitment to Diversity Equity, Inclusion in the communities where we live and work.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"All the Networks have Executive Leadership sponsorship and meet regularly with Executive Leadership and our President and CEO, John Donahoe.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
